IC50,Cancer,Drug,MOT_2D_activationsegment_EXP,DOM_Pkinase_CSV,DOM_Pkinase_EXP,PWY_R_HSA_162582_EXP,GO_0006468_EXP,GO_0007169,GO_0007169_EXP,GO_0008284_EXP,GO_0018105_EXP,GO_0035556_CSV,GO_0035556_EXP,GO_0046777_EXP,FAM_CAMK_EXP,FAM_TK_EXP,CLS_average_ploidy,EXP_TXK,EXP_ITK,EXP_MKNK1,EXP_CASK,EXP_TSSK4,EXP_CSNK1A1L,EXP_PHKG2,EXP_ADCK2,EXP_ERN2,EXP_RYK,EXP_FGR,EXP_MAP3K21,EXP_NIM1K,EXP_MOS,EXP_GRK5,EXP_MAP3K7,EXP_CASK_X_EXP_APBA2,EXP_CASK_X_EXP_CAD,EXP_CASK_X_EXP_CALM2,EXP_CASK_X_EXP_CALM3,EXP_CASK_X_EXP_CASKIN1,EXP_CASK_X_EXP_CPLX1,EXP_CASK_X_EXP_EPB41L1,EXP_CASK_X_EXP_EPB41L5,EXP_CASK_X_EXP_EPS8,EXP_CASK_X_EXP_LIN7C,EXP_CASK_X_EXP_MCM4,EXP_CASK_X_EXP_NRXN2,EXP_CASK_X_EXP_NRXN3,EXP_CASK_X_EXP_POLR2F,EXP_CASK_X_EXP_PPFIA1,EXP_CASK_X_EXP_PPFIA3,EXP_CASK_X_EXP_RAB3A,EXP_CASK_X_EXP_SDC2,EXP_CASK_X_EXP_SDC3,EXP_CASK_X_EXP_SLC18A2,EXP_CASK_X_EXP_SNAP25,EXP_CASK_X_EXP_SPATA2,EXP_CASK_X_EXP_STX1A,EXP_CASK_X_EXP_SYN1,EXP_CASK_X_EXP_SYN3,EXP_CASK_X_EXP_SYT1,EXP_CASK_X_EXP_UIMC1,EXP_CSNK1A1L_X_EXP_AXIN2,EXP_CSNK1A1L_X_EXP_BYSL,EXP_CSNK1A1L_X_EXP_CTNNB1,EXP_CSNK1A1L_X_EXP_DDB1,EXP_CSNK1A1L_X_EXP_PER2
1.206525,909759,5,6.72441454367375,1.542851,6.02610626371887,27.8617811442127,18.0619701231819,4,11.3128169111062,5.74476642936469,18.8650319219871,0.757264,15.2590752617655,20.4628538956297,29.3794950169434,14.9916415657332,2.04111669004433,3.25217527203203,2.72681078899648,3.7280924864311,6.10679086352174,2.79406084116358,3.01467303218864,5.71557473324841,4.46281644506676,3.24288129456119,9.26560561658086,3.20311030906481,3.33925075126237,3.12531002957306,3.13792485948154,4.37580213047733,7.66368142069711,29.7767447852095,42.6734415026154,74.5601601836068,30.8240288032507,22.1408665669327,18.4175939229746,20.9696959161809,23.5311927456359,53.5134818181303,36.6782108506866,37.909560610681,20.9964393923428,47.371281706924,30.2163375562337,40.2024069208198,21.2524195413487,18.0801767847666,47.3516049187431,22.3846102039795,19.3192030642126,27.3522077270819,21.9286731034885,21.6340032224865,18.6973278150796,18.3445682570796,32.3446238241865,32.8580978913783,10.2147670510184,20.3861302928308,25.7813396244431,18.9558426858493,9.60845841223225
3.587691,924248,5,0,0.770379,3.10844531088809,12.7907332328478,4.90797785957568,1,4.90797785957568,0,0,0.817771,4.48547142596402,4.90797785957568,6.79908915559507,4.90797785957568,2.03055254656326,2.72596979489081,2.87916211019641,3.77213933019867,4.83802431671213,2.93660526690427,2.97622252866574,6.60550499979263,5.00294483546806,3.69130769680109,8.36420951311818,3.03683879447242,2.72326127854733,3.06125587580208,2.96777444626847,5.57782962078941,7.35552680568184,24.4314104409686,36.0227234598339,60.7530609367347,31.5393664597549,23.1224747063274,14.7900032980285,19.1108418665278,19.8274155287018,18.5236735311086,30.3703675109563,39.1752013434852,30.1438293217563,40.883079289374,25.7824194425443,30.8014606109755,25.1909484311573,19.9162901968243,22.7936704009152,20.9813886225062,16.1101453024882,13.9097781582024,18.5855647733169,16.7281236480645,17.1923949780929,15.1250173104285,13.8745813710451,24.424600198718,11.0411235576678,21.5680048444885,29.0657507948258,20.1602655715034,15.2560733825491
3.602015,925343,5,0,0.798618,6.57558341849892,10.3411729881168,24.178323689266,0,0,0,26.3717425027683,0,16.9777705793187,26.7678587381686,16.5700287476674,0,2.75521979571072,3.19928963787254,2.94428556109985,3.49543890617961,5.44844799538324,3.10555511212778,2.99629818350298,6.13753919019173,4.23903905706636,3.3954472805019,9.02188182116548,3.20868393648334,3.61174058016426,2.70102129644647,3.13253625655301,3.90915131522199,7.31700701566528,16.0003135946578,42.9042452289944,65.8989591363165,31.4185530932485,19.4097147363702,17.559193608907,20.9170023281335,21.3474701751509,40.8229478393688,33.892510453442,35.9640568731969,17.3771733791669,42.3574568235307,27.6314251755798,34.4107674488516,19.0835006605367,16.9458163204668,48.673146465396,23.591828020136,17.7642693804259,24.2045076310702,19.4502936802924,18.3518241049319,18.4449868069195,16.4191632692354,34.6383544935398,25.7839583210396,9.68082725449153,21.8566756170865,24.719682827536,18.9576188386754,9.02737647399975
3.707801,971773,5,6.89287369585117,0.687297,2.99214488460604,10.6972041572739,15.8552579059476,0,0,3.31272307365199,14.5495530566862,0.687297,21.0757420101759,7.97725754988094,15.4971421636378,3.31272307365199,2.98292486190405,2.94052373372692,3.03718572996068,3.43064528796995,6.85470968696745,2.83853130834462,2.92232970989479,5.63103765086921,5.72215620313165,3.20521531302618,9.56381267730958,3.219951517889,3.56563233771557,3.06087355488305,3.02654160094063,6.27012049814441,8.2111645754479,29.606846063056,59.978509230077,75.2913957380138,35.9820471322292,28.9240551127152,19.9056054928372,23.416946631741,28.4036211795078,45.6092835023319,43.6790926958671,37.4679473194427,28.3333618338337,22.0662736287699,36.6057232427351,49.3233104876354,28.1746762854319,22.2639054709938,35.7998365467106,24.9986994756934,22.349673429112,25.6426824446676,24.7976545052551,24.726068027165,44.4954537797849,21.0313458221118,62.7754208573916,35.643310752701,10.1822951420445,24.0881286920324,20.0541014696366,19.0121858666914,8.83022223678763
-0.541216,909720,6,4.77950400043715,1.528114,7.9326979735509,3.06624816584776,18.2244028930867,0,0,4.77950400043715,7.15078359325123,0.725143,3.15319397311375,6.29411529939831,6.21944213896151,0,2.13184640379453,3.00998151654085,2.98420269297796,3.7966705516363,5.70583208655019,3.14412371724234,3.00991167714262,5.3260040869937,4.63481775639947,3.14415725423894,9.02218076146045,3.14861605125308,3.32252743192194,3.12321235473481,3.10787672766869,3.78668994795298,8.01279890866785,21.0893974488577,44.7622656285189,69.0649733061558,28.1133135921548,18.3044251746731,17.5497509062353,20.0129399083331,21.7444920045132,45.0452988938635,33.7844926761339,34.5569949591534,19.2430941554525,18.7800606022967,28.4937689253458,36.1120675996476,20.2800091962359,18.2442209545771,18.2488554813766,18.4479183586845,17.4416885049163,20.001082428487,21.7477143391799,21.8473358903015,18.844759283699,18.1795193748709,32.5549986606937,29.8793166794214,10.3462180046669,22.3885685249306,23.7674699125286,17.4347066540975,9.02556695640756
2.967591,909732,6,11.5841906838272,6.271797,41.1815563983755,100.853733379192,127.052097069127,6,18.4460602656474,6.83645291605307,57.4406839990083,3.082788,52.0096174872134,61.2613577953252,47.9060811754857,39.5823078469503,1.96699891780694,2.81455317933384,3.00771774751261,3.76795531474944,5.70421487893986,3.06978735958121,2.97326620304725,6.75915161456509,3.77908799507298,3.53386860511764,9.56579339072728,3.15829545170002,3.62812119377354,3.10507488600673,3.30731882241632,3.70522044627392,7.94226707917782,28.3196692408462,48.0102707210251,66.2829972366899,31.6227185079448,28.6441842430981,18.9450935796327,22.4403890338292,26.0790073319577,20.7806734701703,37.8142517104017,33.6284218950593,24.4852015980979,18.7544310311524,28.4442412175651,40.2096271254723,25.0994439110978,21.3893519920115,19.8501075487246,20.879751263077,18.6468415108308,16.1491951082344,19.6470726769422,18.8401364381199,20.5619125407659,18.083747214369,17.0278236725511,32.2467538188895,17.9140301051474,21.4474375232019,23.9392744410855,19.5266892345866,10.1421016731665
4.561841,909754,6,14.072402381671,8.882359,65.0849941340532,226.54696413521,213.087927768491,18,54.8625691757939,48.0419437209435,122.709286059998,4.978115,144.704152753648,186.742910955599,149.672903595293,131.806972459171,3.21850492068932,4.14228881182729,3.3409601197685,4.36940872927677,3.87820412731284,3.41622108333247,3.22394044155025,6.61779107122798,3.61135374179923,3.60739090113098,8.39260447014922,3.4325402901541,2.79180685265022,2.68974774078592,3.26989342355663,3.58279105950505,7.97351398547226,12.0255430759655,30.4185621621819,46.500197874733,21.7230194434962,14.6576215554627,12.3055503140536,13.3526843623959,13.6269596162738,33.0080255464911,25.0319034085372,28.3127135834337,13.4956596933188,20.1314566028597,21.704059972483,21.17663301863,14.9956409674352,13.0081761888706,13.5128160725566,13.1919166561405,13.5836746150219,11.6335498814912,14.3834667343483,15.7774435376603,13.4564817660553,12.7017474133069,12.2833084606158,19.8691231500236,11.1792410951869,23.6632186020629,25.7975097842224,20.9459132064783,9.68495695549145
2.40839,909756,6,4.21503614483499,1.636219,6.48027486511372,31.7633385941845,26.2350543676775,2,5.94063153991556,3.01504905563185,8.25753065258126,0.798924,6.55097526349452,10.9933749591304,13.597619641009,8.92500378151222,3.45596913924664,3.36394892544025,2.928735103119,3.74441729576391,6.19404859195984,3.01078111267251,2.84751380001398,6.04310021707686,4.24487927312892,3.27512630074481,9.15627016554187,3.36082910059642,3.15143546088352,3.11153761133286,3.13694055875301,4.72194109956008,7.90613919279608,33.7478877771547,41.2175453395325,72.1516521687496,34.3894097916684,22.6882527757451,18.5098877550295,23.3097868323123,24.4681959628811,44.2347094818373,38.6904248193643,34.7854847197431,23.4392957922579,19.3839789188085,30.8160948698362,38.4757728027605,21.4031727981804,19.4078515446768,25.3263051428404,24.8277678650854,20.1524031361485,39.2383903834189,21.4592985408811,20.7113464391297,23.1704897947352,18.82182466041,18.3627689524074,31.87244294222,9.81325065630441,18.8749035430362,23.5285176464286,18.8102573723317,9.782393016436
3.265654,909759,6,6.72441454367375,1.542851,6.02610626371887,27.8617811442127,18.0619701231819,4,11.3128169111062,5.74476642936469,18.8650319219871,0.757264,15.2590752617655,20.4628538956297,29.3794950169434,14.9916415657332,2.04111669004433,3.25217527203203,2.72681078899648,3.7280924864311,6.10679086352174,2.79406084116358,3.01467303218864,5.71557473324841,4.46281644506676,3.24288129456119,9.26560561658086,3.20311030906481,3.33925075126237,3.12531002957306,3.13792485948154,4.37580213047733,7.66368142069711,29.7767447852095,42.6734415026154,74.5601601836068,30.8240288032507,22.1408665669327,18.4175939229746,20.9696959161809,23.5311927456359,53.5134818181303,36.6782108506866,37.909560610681,20.9964393923428,47.371281706924,30.2163375562337,40.2024069208198,21.2524195413487,18.0801767847666,47.3516049187431,22.3846102039795,19.3192030642126,27.3522077270819,21.9286731034885,21.6340032224865,18.6973278150796,18.3445682570796,32.3446238241865,32.8580978913783,10.2147670510184,20.3861302928308,25.7813396244431,18.9558426858493,9.60845841223225
0.635282,924248,6,0,0.770379,3.10844531088809,12.7907332328478,4.90797785957568,1,4.90797785957568,0,0,0.817771,4.48547142596402,4.90797785957568,6.79908915559507,4.90797785957568,2.03055254656326,2.72596979489081,2.87916211019641,3.77213933019867,4.83802431671213,2.93660526690427,2.97622252866574,6.60550499979263,5.00294483546806,3.69130769680109,8.36420951311818,3.03683879447242,2.72326127854733,3.06125587580208,2.96777444626847,5.57782962078941,7.35552680568184,24.4314104409686,36.0227234598339,60.7530609367347,31.5393664597549,23.1224747063274,14.7900032980285,19.1108418665278,19.8274155287018,18.5236735311086,30.3703675109563,39.1752013434852,30.1438293217563,40.883079289374,25.7824194425443,30.8014606109755,25.1909484311573,19.9162901968243,22.7936704009152,20.9813886225062,16.1101453024882,13.9097781582024,18.5855647733169,16.7281236480645,17.1923949780929,15.1250173104285,13.8745813710451,24.424600198718,11.0411235576678,21.5680048444885,29.0657507948258,20.1602655715034,15.2560733825491
3.625313,925343,6,0,0.798618,6.57558341849892,10.3411729881168,24.178323689266,0,0,0,26.3717425027683,0,16.9777705793187,26.7678587381686,16.5700287476674,0,2.75521979571072,3.19928963787254,2.94428556109985,3.49543890617961,5.44844799538324,3.10555511212778,2.99629818350298,6.13753919019173,4.23903905706636,3.3954472805019,9.02188182116548,3.20868393648334,3.61174058016426,2.70102129644647,3.13253625655301,3.90915131522199,7.31700701566528,16.0003135946578,42.9042452289944,65.8989591363165,31.4185530932485,19.4097147363702,17.559193608907,20.9170023281335,21.3474701751509,40.8229478393688,33.892510453442,35.9640568731969,17.3771733791669,42.3574568235307,27.6314251755798,34.4107674488516,19.0835006605367,16.9458163204668,48.673146465396,23.591828020136,17.7642693804259,24.2045076310702,19.4502936802924,18.3518241049319,18.4449868069195,16.4191632692354,34.6383544935398,25.7839583210396,9.68082725449153,21.8566756170865,24.719682827536,18.9576188386754,9.02737647399975
2.669452,971773,6,6.89287369585117,0.687297,2.99214488460604,10.6972041572739,15.8552579059476,0,0,3.31272307365199,14.5495530566862,0.687297,21.0757420101759,7.97725754988094,15.4971421636378,3.31272307365199,2.98292486190405,2.94052373372692,3.03718572996068,3.43064528796995,6.85470968696745,2.83853130834462,2.92232970989479,5.63103765086921,5.72215620313165,3.20521531302618,9.56381267730958,3.219951517889,3.56563233771557,3.06087355488305,3.02654160094063,6.27012049814441,8.2111645754479,29.606846063056,59.978509230077,75.2913957380138,35.9820471322292,28.9240551127152,19.9056054928372,23.416946631741,28.4036211795078,45.6092835023319,43.6790926958671,37.4679473194427,28.3333618338337,22.0662736287699,36.6057232427351,49.3233104876354,28.1746762854319,22.2639054709938,35.7998365467106,24.9986994756934,22.349673429112,25.6426824446676,24.7976545052551,24.726068027165,44.4954537797849,21.0313458221118,62.7754208573916,35.643310752701,10.1822951420445,24.0881286920324,20.0541014696366,19.0121858666914,8.83022223678763
1.037623,1240166,6,0,0.721501,3.03594279873538,14.8596541063329,28.0941119243299,1,2.79668494730514,0,11.4189512092742,0,9.71797901145946,15.2617599700591,10.1167694542623,2.79668494730514,1.95410638538744,3.42530319155717,3.10206929510297,3.48918078386592,6.59206084206585,3.00175177373664,3.02387176035941,5.73205249283152,4.71495604268106,3.6888461859405,8.80177606374518,3.57429812371335,3.33224747885807,2.9603588188614,3.22330456121217,3.21112146453809,7.48102942586648,25.5082189626966,50.4553182909047,71.7029695865098,33.4530530216777,33.8635774611413,23.6075734360579,29.8757637251101,27.4973737680634,40.4119842981739,36.2696503234661,27.683792748272,28.1358248970692,22.7081295598954,31.061182477151,46.117172958743,32.5620809702718,31.1111111910149,62.792408929261,23.7276698366714,21.3485007014891,25.6337212978437,23.9982346409415,24.442524940396,24.1603523409904,21.3082839159349,60.6308488087469,41.3247361792559,12.154000482091,17.8073771459586,23.7510916295745,20.0573949215864,9.81531672571254
3.718427,909720,29,4.77950400043715,1.528114,7.9326979735509,3.06624816584776,18.2244028930867,0,0,4.77950400043715,7.15078359325123,0.725143,3.15319397311375,6.29411529939831,6.21944213896151,0,2.13184640379453,3.00998151654085,2.98420269297796,3.7966705516363,5.70583208655019,3.14412371724234,3.00991167714262,5.3260040869937,4.63481775639947,3.14415725423894,9.02218076146045,3.14861605125308,3.32252743192194,3.12321235473481,3.10787672766869,3.78668994795298,8.01279890866785,21.0893974488577,44.7622656285189,69.0649733061558,28.1133135921548,18.3044251746731,17.5497509062353,20.0129399083331,21.7444920045132,45.0452988938635,33.7844926761339,34.5569949591534,19.2430941554525,18.7800606022967,28.4937689253458,36.1120675996476,20.2800091962359,18.2442209545771,18.2488554813766,18.4479183586845,17.4416885049163,20.001082428487,21.7477143391799,21.8473358903015,18.844759283699,18.1795193748709,32.5549986606937,29.8793166794214,10.3462180046669,22.3885685249306,23.7674699125286,17.4347066540975,9.02556695640756
