IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,PKA_113_D,PKA_113_D_CSV,PKA_124_POL,PKA_129_S,PKA_129_S_CSV,PKA_129_S_EXP,PKA_142,PKA_164_ASA,PKA_271_HYD,PKA_272_M_CSV,MOT_2D_beta8strand_CSV,DOM_Kringle_EXP,MUT_TSSK6,REC_R_HSA_2984220_CSV,PWY_R_HSA_5689880_CSV,PWY_R_HSA_8953750_EXP,GO_0003222_CSV,GO_0009791_CSV,GO_0032880_EXP,GO_0042733_EXP,GO_0048536_CSV,EXP_TEC,EXP_NUAK2,EXP_MKNK1,PKA_102_CSV_X_Fingerprint_797,PKA_102_X_Fingerprint_797,PKA_105_ENG_X_Fingerprint_363,PKA_113_ASA_X_Fingerprint_611,PKA_113_HYD_X_Fingerprint_611,PKA_113_HYD_X_Fingerprint_818,PKA_113_POL_X_Fingerprint_576,PKA_121_B62_X_Fingerprint_696,PKA_121_HYD_X_Fingerprint_698,PKA_131_HYD_X_Fingerprint_800,PKA_132_B62_X_Fingerprint_818,PKA_157_ASA_X_Fingerprint_714,PKA_157_ENG_X_Fingerprint_714,PKA_165_HYD_X_Fingerprint_818,PKA_165_H_X_Fingerprint_818,PKA_172_HYD_X_Fingerprint_800,PKA_180_B62_X_Fingerprint_818,PKA_190_ASA_X_Fingerprint_714,PKA_190_POL_X_Fingerprint_813,PKA_197_HYD_X_Fingerprint_698,PKA_198_VOL_X_Fingerprint_617,PKA_199_ENG_X_Fingerprint_363,PKA_199_VOL_X_Fingerprint_363,PKA_200_X_Fingerprint_644,PKA_201_B62_X_Fingerprint_363,PKA_201_ENG_X_Fingerprint_363,PKA_201_VOL_X_Fingerprint_800,PKA_204_EXP_X_Fingerprint_800,PKA_205_X_Fingerprint_576,PKA_264_ASA_X_Fingerprint_798,PKA_264_EXP_X_Fingerprint_797,PKA_265_ENG_X_Fingerprint_776,PKA_266_ASA_X_Fingerprint_800,PKA_272_ASA_X_Fingerprint_576,PKA_272_ASA_X_Fingerprint_710,PKA_280_VOL_X_Fingerprint_363,PKA_291_EXP_X_Fingerprint_644,PKA_294_VOL_X_Fingerprint_611,PKA_58_B62_X_Fingerprint_644,PKA_58_B62_X_Fingerprint_673,PKA_71_B62_X_Fingerprint_800,PKA_71_CSV_X_Fingerprint_800,PKA_71_X_Fingerprint_800,PKA_73_ASA_X_Fingerprint_714,PKA_86_HYD_X_Fingerprint_686,PKA_92_VOL_X_Fingerprint_698,PKA_96_CSV_X_Fingerprint_818,PKA_96_EXP_X_Fingerprint_818,PKA_97_B62_X_Fingerprint_800,PKA_98_HYD_X_Fingerprint_644,EXP_ACVR1B_X_EXP_AKAP4,EXP_ACVR1B_X_EXP_SMAD4,EXP_GUCY2C_X_EXP_PDE5A,EXP_NPR2_X_EXP_POLR3GL,EXP_NPR2_X_EXP_ZNRD1,EXP_TAOK3_X_EXP_KDSR,EXP_TEC_X_EXP_PLCG1,EXP_TEC_X_EXP_SOS1,EXP_TGFBR2_X_EXP_GPC1,EXP_TGFBR2_X_EXP_NEDD4L,REC_R_HSA_1067646_CSV_X_REC_R_HSA_2980720_CSV,PWY_R_HSA_174143_CSV_X_PWY_R_HSA_2672351_CSV,PWY_R_HSA_174143_CSV_X_PWY_R_HSA_382551_CSV,PWY_R_HSA_174143_CSV_X_PWY_R_HSA_75153_CSV
2.515859,910905,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68642255898167,4.16757343401049,3.96423032743048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8440313863605,31.5913804954239,34.0333506117319,27.9325056453097,35.0586194608606,40.0127311192389,15.7815290456683,23.4329720550993,29.0630000601575,45.5705543482902,0,0,0,0
3.323416,1240173,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.753591,0,0,0,0,0,0,0,0,0,0,3.29641687873073,3.88784767304829,3.62999465348883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6156067112905,23.2397109153557,11.5554035044735,47.2637943204761,46.6191596851924,51.2649981403523,22.1117204490656,20.3934130416423,33.6834673207184,34.7005907776286,0,0,0,0
3.886257,1290769,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20236118860915,4.08590694963762,4.34292843626837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1935129277079,24.6287799831087,19.391539412219,31.4565463428318,31.478881847625,35.6311233202292,19.8365973334079,24.9432738406995,43.5522523036627,32.0247908101595,0,0,0,0
-0.847355,905989,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76551,0,0.828746,0,0,4.57200359702388,0,3.66392326572377,3.25355654366959,3.69161824901879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2753484085291,24.387725830328,13.7384304236906,39.3084769900619,45.1127529953361,44.9685968078212,15.4042061544752,25.5430682633875,25.464424813174,36.247376021115,0,0,0,0
2.384754,907792,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55659669333153,4.57889128185275,3.93954332341838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9496030841675,17.4215376785099,16.4122562042817,26.3652362637234,31.218570371519,38.1076748888363,16.0380455341787,20.9460644893249,37.7195214520684,31.2440361919012,0,0,0,0
2.337311,907794,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2106448544468,0,0,0,5.8252854172367,0,3.39383478518426,3.92936182131181,3.57493052792515,0,0,0,-23.9,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3633205274453,25.2278082108808,16.5754093372011,43.6561479192456,52.5838132725821,36.3081450956102,13.8587650830524,21.498918670573,35.0502610052654,34.8833187509048,0,0,0,0
3.378877,907795,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70030694251936,0,0,0.819783,4.49153612871056,0.819783,0.819783,0,0,0,3.46644571647619,4.3088616154261,4.12283626821339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8230331322941,25.2177881488665,27.0710984913187,42.7383937949425,42.2939782596072,47.2910931600635,12.958306020526,20.7084567642139,29.3971048207758,38.0632528469779,0,0,0,0
3.790681,908458,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19702834407938,3.34855642579363,3.63595337080024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.878046490586,25.7855479152167,33.7910156209362,33.9329939358028,34.4079967385127,34.9582571106731,13.9586013049872,21.1116572334501,16.4206278825518,22.597243552725,0,0,0,0
1.938838,909698,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26779775459644,0,0,0,4.3831635294449,0.799888,3.46495909916171,3.15367128574905,3.59936738315189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,13.7876765117528,26.772578050317,9.55670057354486,44.6560325589402,53.4240003561373,48.1377881831184,19.5620799764481,22.5208623917631,20.8308350264973,25.8879014925686,0,0,0,0
4.157222,909740,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.782576,0,0,0,0,0,0,0,0,0,0,3.50353103357369,3.49211133650351,3.95212356149136,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7241470247287,27.6187713558716,14.3524460823956,39.1443915537194,42.9893100771792,39.3477744600522,14.8812281000098,23.6927746852011,25.610627716008,23.2769053938729,0,0,0,0
5.005963,910554,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.4,0,0,0,0,0,-0.29,0,1.528455,0,0,0,0,0,0,0,3.44360708018884,0,0,3.87701802079596,4.51837401633858,3.93164116185065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2377540628229,31.0791344053674,35.8218591782117,40.584301472866,50.3322676667863,44.91492604644,14.7692155323955,24.395030859825,28.0835826159186,43.7741236583857,0,1.272341446036,2.501081336624,0.728986654604
1.625815,910569,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78977748941939,0,0,3.2343637200435,3.51926661195832,4.31906684108551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9959457893909,28.3455267336201,9.25153336904526,35.1233550464903,37.4243862849193,42.4118403570723,18.933195589393,21.95619229851,14.5987767788951,15.5225747601292,0,0,0,0
4.727643,910700,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35710278033194,4.11069785763653,3.72281834879777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8842102310361,28.9702687669335,24.9253356589114,35.6170753421216,44.5474872349944,37.5928895916308,17.2113700297422,21.9679837605911,33.3842325674476,36.1346221230572,0,0,0,0
4.104127,910905,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68642255898167,4.16757343401049,3.96423032743048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8440313863605,31.5913804954239,34.0333506117319,27.9325056453097,35.0586194608606,40.0127311192389,15.7815290456683,23.4329720550993,29.0630000601575,45.5705543482902,0,0,0,0
4.108322,1240173,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.753591,0,0,0,0,0,0,0,0,0,0,3.29641687873073,3.88784767304829,3.62999465348883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6156067112905,23.2397109153557,11.5554035044735,47.2637943204761,46.6191596851924,51.2649981403523,22.1117204490656,20.3934130416423,33.6834673207184,34.7005907776286,0,0,0,0
