IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_113_D,PKA_113_D_CSV,PKA_124_POL,PKA_129_S,PKA_129_S_CSV,PKA_129_S_EXP,PKA_164_ASA,PKA_164_R_CSV,PKA_176_EXP,PKA_237_EXP,PKA_264_VOL,PKA_271_HYD,PKA_272_M_CSV,PKA_294_VOL,PKA_70_POL,PKA_91_ASA,PKA_91_CSV,PKA_91_ENG,PKA_91_EXP,PKA_93_V_EXP,MOT_2D_D_helix_CSV,MOT_2D_beta8strand_CSV,DOM_Kringle_EXP,DOM_NUC194,MUT_MAPK8,MUT_TNK2,MUT_TSSK6,CNV_CDK8_gain,REC_R_HSA_2984220_CSV,PWY_R_HSA_5689880_CSV,PWY_R_HSA_5693538_CSV,PWY_R_HSA_8953750_EXP,GO_0003222,GO_0003222_CSV,GO_0009791_CSV,GO_0014075,GO_0032880_EXP,GO_0042733_EXP,GO_0048536_CSV,CLS_gender_f,EXP_TEC,EXP_NUAK2,EXP_TBCK,EXP_MKNK1,EXP_CDK13,EXP_ACVR1B_X_EXP_GTF2H1,EXP_ACVR1B_X_EXP_SMAD3,EXP_ACVR1B_X_EXP_SMAD4,EXP_GUCY2C_X_EXP_PDE5A,EXP_NPR2_X_EXP_ENTPD8,EXP_NPR2_X_EXP_ZNRD1,EXP_TAOK3_X_EXP_KDSR,EXP_TEC_X_EXP_SOS1,EXP_TEC_X_EXP_SYK,EXP_TGFBR2_X_EXP_GPC1,EXP_TGFBR2_X_EXP_NEDD4L,REC_R_HSA_1067646_CSV_X_REC_R_HSA_2980720_CSV,REC_R_HSA_1067646_CSV_X_REC_R_HSA_2984226_CSV,REC_R_HSA_1067646_CSV_X_REC_R_HSA_8857565_CSV,REC_R_HSA_109858_CSV_X_REC_R_HSA_2980720_CSV,REC_R_HSA_109858_CSV_X_REC_R_HSA_2984226_CSV,REC_R_HSA_2980720_CSV_X_REC_R_HSA_909552_CSV,REC_R_HSA_2984226_CSV_X_REC_R_HSA_909552_CSV,PWY_R_HSA_2980767_CSV_X_PWY_R_HSA_447115_CSV,PWY_R_HSA_3301854_CSV_X_PWY_R_HSA_447115_CSV,Predicted IC50,Validation
5.005963,910554,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,0,0,0,0,1.496003,1.528455,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.4436070802,0,0,1,3.8770180208,4.5183740163,5.1683104031,3.9316411619,4.6915156737,35.894599244,23.316834011,31.079134405,35.821859178,19.708914349,50.332267667,44.914926046,24.39503086,28.986122072,28.083582616,43.774123658,0,0,0.532757371,0,0,0,0,0,0,4.5387414826,6
1.625815,910569,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7897774894,0,0,1,3.23436372,3.519266612,5.0409988705,4.3190668411,4.1640336668,38.631371579,22.239600554,28.345526734,9.251533369,14.774715036,37.424386285,42.411840357,21.956192299,10.361301672,14.598776779,15.52257476,0,0,0,0,0,0,0,0,0,2.7166433413,10
4.727643,910700,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3571027803,4.1106978576,6.1274373789,3.7228183488,3.9781773641,41.087902572,27.047908644,28.970268767,24.925335659,20.226647297,44.547487235,37.592889592,21.967983761,10.780789501,33.384232567,36.134622123,0,0,0,0,0,0,0,0,0,3.4903565102,1
4.104127,910905,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686422559,4.167573434,5.3248156895,3.9642303274,4.3994984135,46.578739597,29.642639848,31.591380495,34.033350612,14.212040897,35.058619461,40.012731119,23.432972055,27.400322773,29.06300006,45.570554348,0,0,0,0,0,0,0,0,0,3.8694450876,7
4.108322,1240173,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2964168787,3.887847673,6.4336519607,3.6299946535,4.7999757733,34.415803845,20.783807509,23.239710915,11.555403504,23.336569531,46.619159685,51.26499814,20.393413042,10.599499725,33.683467321,34.700590778,0,0,0,0,0,0,0,0,0,3.1275796321,6
5.054861,1290769,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2023611886,4.0859069496,5.3526309137,4.3429284363,4.8125750014,37.345471974,27.941630875,24.628779983,19.391539412,14.935337398,31.478881848,35.63112332,24.943273841,28.599684014,43.552252304,32.02479081,0,0,0,0,0,0,0,0,0,4.6262653332,1
1.463707,905989,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76551,0.705361,0,1,0.828746,0,0,0,4.572003597,0,0,3.6639232657,3.2535565437,7.1585204792,3.691618249,4.0586744683,34.33508873,20.505110071,24.38772583,13.738430424,19.230950354,45.112752995,44.968596808,25.543068263,23.211503316,25.464424813,36.247376021,0,0,0,0,0,0,0,0,0,1.599884712,10
3.348465,907792,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5565966933,4.5788912819,5.0200008167,3.9395433234,4.3268047269,34.364262463,23.643151848,17.421537679,16.412256204,14.155154499,31.218570372,38.107674889,20.946064489,21.308608983,37.719521452,31.244036192,0,0,0,0,0,0,0,0,0,3.5325610321,5
2.962621,907794,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8221535054,12.5,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.558796,7.2106448544,0,0,0,0,0,5.8252854172,0,0,3.3938347852,3.9293618213,6.5440411236,3.5749305279,4.5671014425,31.334099435,22.105919787,25.227808211,16.575409337,19.794054288,52.583813273,36.308145096,21.498918671,21.266135343,35.050261005,34.883318751,0,0,0,0,0,0,0,0,0,2.6387706039,6
2.84019,907795,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8488843774,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7003069425,0,0,0,0,0,0,0.819783,0,4.4915361287,2,0.819783,0.819783,0,0,0,0,0,3.4664457165,4.3088616154,6.8625900947,4.1228362682,4.4308965873,33.983298616,21.103118131,25.217788149,27.071098491,22.78487097,42.29397826,47.29109316,20.708456764,28.778336061,29.397104821,38.063252847,0,0,0,0,0,0,0,0,0,2.702513329,10
3.224162,908458,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.7880926814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1970283441,3.3485564258,7.6947726635,3.6359533708,4.5953566965,33.695311215,18.671557833,25.785547915,33.791015621,13.710136127,34.407996739,34.958257111,21.111657233,10.343079319,16.420627883,22.597243553,0,0,0,0,0,0,0,0,0,3.0515503826,3
3.030065,909698,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0.7536,0,0,0,0,0,0,0,0,0,0,4.2677977546,1,0,0,0,0,4.3831635294,0.799888,0,3.4649590992,3.1536712857,5.6823919555,3.5993673832,3.7349279859,34.964649278,17.935644474,26.77257805,9.5567005735,22.224422722,53.424000356,48.137788183,22.520862392,20.911183937,20.830835026,25.887901493,0,0,0,0,0,0,0,0,0,2.403132397,5
3.859228,909740,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,0,0,0,0,0,0,0,0,0,0.795007,0.782576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5035310336,3.4921113365,6.1141661516,3.9521235615,4.5263701749,32.811973175,21.952577738,27.618771356,14.352446082,16.931788801,42.989310077,39.34777446,23.692774685,20.127900983,25.610627716,23.276905394,0,0,0,0,0,0,0,0,0,3.2853737415,4
2.613355,910554,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,0,0,0,0,1.496003,1.528455,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.4436070802,0,0,1,3.8770180208,4.5183740163,5.1683104031,3.9316411619,4.6915156737,35.894599244,23.316834011,31.079134405,35.821859178,19.708914349,50.332267667,44.914926046,24.39503086,28.986122072,28.083582616,43.774123658,0,0,0.532757371,0,0,0,0,0,0,3.5140375212,5
2.119224,910569,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7897774894,0,0,1,3.23436372,3.519266612,5.0409988705,4.3190668411,4.1640336668,38.631371579,22.239600554,28.345526734,9.251533369,14.774715036,37.424386285,42.411840357,21.956192299,10.361301672,14.598776779,15.52257476,0,0,0,0,0,0,0,0,0,2.3366650208,3
3.54347,910700,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3571027803,4.1106978576,6.1274373789,3.7228183488,3.9781773641,41.087902572,27.047908644,28.970268767,24.925335659,20.226647297,44.547487235,37.592889592,21.967983761,10.780789501,33.384232567,36.134622123,0,0,0,0,0,0,0,0,0,3.1284828035,3
3.155636,910905,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686422559,4.167573434,5.3248156895,3.9642303274,4.3994984135,46.578739597,29.642639848,31.591380495,34.033350612,14.212040897,35.058619461,40.012731119,23.432972055,27.400322773,29.06300006,45.570554348,0,0,0,0,0,0,0,0,0,3.5602101887,7
3.317436,1240173,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2964168787,3.887847673,6.4336519607,3.6299946535,4.7999757733,34.415803845,20.783807509,23.239710915,11.555403504,23.336569531,46.619159685,51.26499814,20.393413042,10.599499725,33.683467321,34.700590778,0,0,0,0,0,0,0,0,0,3.1668586199,6
3.868955,1290769,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2023611886,4.0859069496,5.3526309137,4.3429284363,4.8125750014,37.345471974,27.941630875,24.628779983,19.391539412,14.935337398,31.478881848,35.63112332,24.943273841,28.599684014,43.552252304,32.02479081,0,0,0,0,0,0,0,0,0,4.5288717832,2
-1.362439,905971,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-2.7,0,0,0,0,0,2.653910549,0,0,0,0,0,-1.7,0,0,0,0,0,2.090968,0,0,0,0,1,0,0,0,0.794644,0,5.868033407,1,0.794644,0.794644,0,0,0,0,0,3.693933278,3.9664710065,6.2054952009,3.87788723,5.0956548991,36.669007795,21.610514448,27.343176763,31.998815195,19.074697058,44.079621009,39.850964808,22.001423793,24.780148557,28.766520826,44.75115645,0,0,0,0,0,0,0,0,0,0.339496086,7
0.408971,905989,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76551,0.705361,0,1,0.828746,0,0,0,4.572003597,0,0,3.6639232657,3.2535565437,7.1585204792,3.691618249,4.0586744683,34.33508873,20.505110071,24.38772583,13.738430424,19.230950354,45.112752995,44.968596808,25.543068263,23.211503316,25.464424813,36.247376021,0,0,0,0,0,0,0,0,0,0.984773065,4
2.059924,907792,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5565966933,4.5788912819,5.0200008167,3.9395433234,4.3268047269,34.364262463,23.643151848,17.421537679,16.412256204,14.155154499,31.218570372,38.107674889,20.946064489,21.308608983,37.719521452,31.244036192,0,0,0,0,0,0,0,0,0,1.1611766572,6
-2.07671,907794,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8221535054,12.5,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.558796,7.2106448544,0,0,0,0,0,5.8252854172,0,0,3.3938347852,3.9293618213,6.5440411236,3.5749305279,4.5671014425,31.334099435,22.105919787,25.227808211,16.575409337,19.794054288,52.583813273,36.308145096,21.498918671,21.266135343,35.050261005,34.883318751,0,0,0,0,0,0,0,0,0,-1.131668951,6
1.402927,907795,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.8488843774,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7003069425,0,0,0,0,0,0,0.819783,0,4.4915361287,2,0.819783,0.819783,0,0,0,0,0,3.4664457165,4.3088616154,6.8625900947,4.1228362682,4.4308965873,33.983298616,21.103118131,25.217788149,27.071098491,22.78487097,42.29397826,47.29109316,20.708456764,28.778336061,29.397104821,38.063252847,0,0,0,0,0,0,0,0,0,1.3119773033,9
2.464418,908458,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.7880926814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1970283441,3.3485564258,7.6947726635,3.6359533708,4.5953566965,33.695311215,18.671557833,25.785547915,33.791015621,13.710136127,34.407996739,34.958257111,21.111657233,10.343079319,16.420627883,22.597243553,0,0,0,0,0,0,0,0,0,1.7121760562,9
-2.802958,909698,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0.7536,0,0,0,0,0,0,0,0,0,0,4.2677977546,1,0,0,0,0,4.3831635294,0.799888,0,3.4649590992,3.1536712857,5.6823919555,3.5993673832,3.7349279859,34.964649278,17.935644474,26.77257805,9.5567005735,22.224422722,53.424000356,48.137788183,22.520862392,20.911183937,20.830835026,25.887901493,0,0,0,0,0,0,0,0,0,-1.155034762,2
3.793772,910554,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.4,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,0,0,0,0,1.496003,1.528455,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.4436070802,0,0,1,3.8770180208,4.5183740163,5.1683104031,3.9316411619,4.6915156737,35.894599244,23.316834011,31.079134405,35.821859178,19.708914349,50.332267667,44.914926046,24.39503086,28.986122072,28.083582616,43.774123658,0,0,0.532757371,0,0,0,0,0,0,3.5729439361,6
3.467186,910569,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7897774894,0,0,1,3.23436372,3.519266612,5.0409988705,4.3190668411,4.1640336668,38.631371579,22.239600554,28.345526734,9.251533369,14.774715036,37.424386285,42.411840357,21.956192299,10.361301672,14.598776779,15.52257476,0,0,0,0,0,0,0,0,0,1.3348705575,2
3.629236,910700,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3571027803,4.1106978576,6.1274373789,3.7228183488,3.9781773641,41.087902572,27.047908644,28.970268767,24.925335659,20.226647297,44.547487235,37.592889592,21.967983761,10.780789501,33.384232567,36.134622123,0,0,0,0,0,0,0,0,0,1.8058699326,10
3.938491,910905,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686422559,4.167573434,5.3248156895,3.9642303274,4.3994984135,46.578739597,29.642639848,31.591380495,34.033350612,14.212040897,35.058619461,40.012731119,23.432972055,27.400322773,29.06300006,45.570554348,0,0,0,0,0,0,0,0,0,2.9242526614,1
0.738652,1240173,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2964168787,3.887847673,6.4336519607,3.6299946535,4.7999757733,34.415803845,20.783807509,23.239710915,11.555403504,23.336569531,46.619159685,51.26499814,20.393413042,10.599499725,33.683467321,34.700590778,0,0,0,0,0,0,0,0,0,0.7840327854,1
0.409458,1290769,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2023611886,4.0859069496,5.3526309137,4.3429284363,4.8125750014,37.345471974,27.941630875,24.628779983,19.391539412,14.935337398,31.478881848,35.63112332,24.943273841,28.599684014,43.552252304,32.02479081,0,0,0,0,0,0,0,0,0,2.9050786956,9
