IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_785,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_260_ENG,PKA_260_EXP,SDOM_subdomainIV,MUT_GUCY2C,MUT_RPS6KB2,MUT_RPS6KB2_EXP,MUT_TRPM6_EXP,REC_R_HSA_198640,PWY_R_HSA_1643685_CSV,PWY_R_HSA_170834_EXP,GO_0060612,GO_0061024,SFAM_DYRK1_EXP,SFAM_FJ,SFAM_FJ_EXP,EXP_SBK2,EXP_ACVR2B,EXP_SBK1,EXP_STK10,EXP_STK19,PKA_137_CSV_X_Fingerprint_576,PKA_137_X_Fingerprint_576,PKA_251_ENG_X_Fingerprint_644,PKA_251_POL_X_Fingerprint_644,PKA_260_ENG_X_Fingerprint_611,PKA_260_EXP_X_Fingerprint_611,PKA_85_EXP_X_Fingerprint_611,PKA_93_EXP_X_Fingerprint_644,PKA_93_X_Fingerprint_644,EXP_ABL2_X_EXP_CRKL,EXP_CSNK1E_X_EXP_CEP135,EXP_CSNK1E_X_EXP_UTP3,EXP_FGFR2_X_EXP_EPN3,EXP_FGFR2_X_EXP_IGF1,EXP_FGFR2_X_EXP_NCAM1,EXP_MAP2K2_X_EXP_HRAS,EXP_MAPK8_X_EXP_ATF3,EXP_MAPK8_X_EXP_CRK,EXP_MAPK8_X_EXP_GNA15,EXP_MAPK8_X_EXP_HRAS,EXP_MAPK8_X_EXP_HSP90AA1,EXP_MAPK8_X_EXP_IL2RB,EXP_MAPK8_X_EXP_TNFRSF1A,EXP_MAPKAPK3_X_EXP_TNRC6C,EXP_STRADB_X_EXP_PRKAB1,EXP_SYK_X_EXP_TLR4,REC_R_HSA_3228469_X_REC_R_HSA_6802932,GO_0003007_X_GO_0007268,GO_0010629_X_GO_0048015,Predicted IC50,Validation
0.796552,924186,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,0,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,1.2782231361,6
0.41152,1240128,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,1.8265124217,9
1.298283,905990,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,2.1169535939,3
1.788594,924186,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,1.246084087,7
1.672817,1240128,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,2.1482837124,7
-0.039456,905990,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0.7364619137,8
-1.808166,924186,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,-0.605657991,3
1.699025,1240128,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,1.3326646211,4
3.941135,905990,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,3.7752311946,3
3.52548,924186,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,2.0889639764,3
2.841288,1240128,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,3.2813668368,6
-0.793379,905990,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,0.7072453635,4
-0.537757,924186,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,-0.270557071,6
2.079196,1240128,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,1.5165517667,7
2.871599,905990,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,2.9481114699,2
2.775,924186,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,0,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,2.8354120444,8
2.788095,1240128,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,2.5244972936,4
2.124874,905990,38,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,1.7979402752,2
-0.078803,924186,38,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,0.2497683008,9
2.560099,1240128,38,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.751916,0,1,0,0,0,0,3.7134493439,4.6486433566,3.821794092,4.333966068,2.5466618141,0,0,0,0,0,0,0,0,0,31.920175243,36.430229823,67.652922267,9.6339418627,9.491291765,9.6347482387,48.0970981,15.159800286,32.98322865,14.372840154,27.750731249,44.609758797,14.254972335,22.945888818,23.886545611,22.151758061,9.1415663813,0,0,0,2.2204954877,5
-0.966711,905990,51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316716036,4.7301667258,4.2776253048,3.5996860333,3.0115798512,0,0,0,0,0,0,0,0,0,30.418900489,37.678087984,57.518972533,15.015941855,14.507169296,16.764279158,47.024205049,20.961698252,34.7982297,16.746580489,33.700834615,50.353512292,15.836554572,23.469900946,22.337452878,17.781933801,14.541564161,0,0,0,-0.84153818,3
-3.881037,924186,51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3690298436,3.8872657462,3.545877129,5.0010666118,2.5640997749,0,0,0,0,0,0,4.8188387322,0,0,32.232823767,39.481129847,64.864062518,9.6336058683,9.6095605783,11.749199939,55.735329281,16.93644073,42.117697825,17.948547405,43.766951556,55.990240354,19.798005105,33.50632258,23.450478127,22.678765651,10.506280606,0,0,0,-2.375118035,8
