IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_779,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_576,DOM_FAT,MUT_MAST2,MUT_MAST2_EXP,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_MAP3K1,EXP_MAST4,EXP_MAP3K12,EXP_TRPM6,EXP_BLK_X_EXP_CBL,EXP_BLK_X_EXP_DAPP1,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_LRRK2_X_EXP_TUBB4B,EXP_MAP3K12_X_EXP_MAPK8IP1,EXP_MAP3K1_X_EXP_NRK,EXP_MAP3K1_X_EXP_SP1,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_DLG1,EXP_MAPK14_X_EXP_ESR1,EXP_RAF1_X_EXP_GP1BA,EXP_RAF1_X_EXP_REM1,EXP_RAF1_X_EXP_SCNN1G,Predicted IC50,Validation
2.806529,925342,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246,3.0769715357,2
4.896672,949171,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,5.0832835684,5
4.764994,949172,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,4.704342379,6
4.175653,949174,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,4.3631327057,5
3.600896,949175,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,3.395127119,0,4.241507125,5.474776172,7.991639517,3.395127119,4.578580491,2.87463566,13.64873125,9.734418172,9.24630425,18.6096963,21.99899328,37.42602218,15.27674859,22.96524253,43.14624506,17.18179554,23.14254713,15.36603804,22.89308373,24.64485639,21.08983601,3.6820047916,4
4.029736,949176,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,4.0570525731,4
3.578282,949177,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,3.40709435,1
2.857894,949178,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,3.6094638166,2
4.478713,949179,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,4.9942205432,4
3.188946,1240181,288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,3.9715587717,7
5.587456,688086,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,4.9198816659,1
5.653475,688087,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,6.0602105982,8
4.332574,717431,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.917086086,5.21811468,9.155817222,3.556187323,4.537270728,2.955795611,12.83724206,8.786151842,10.10769792,15.72228805,18.99221305,32.73021789,15.24237968,25.80604385,49.10358707,15.28196907,22.62110435,14.84753604,20.91991841,23.50262474,18.47302664,3.9253406499,10
5.988943,724828,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.585650496,5.408320316,10.7458966,4.151945864,4.918415765,3.069178304,11.40481694,9.865022619,9.005697196,22.62851352,20.23892815,35.74868131,16.9059762,30.49262149,57.0308526,18.06711897,24.56705257,17.02221484,17.68932559,18.67605545,16.79460847,5.7693099933,1
5.649805,753616,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.17935239,6.315000135,9.965804292,3.499441912,4.824062036,3.047565261,13.18267185,9.026491855,9.342648061,18.22621584,18.34160487,30.84182634,16.49753815,28.10990824,63.20343288,17.25691955,22.58305983,14.55342159,20.35128,19.87066037,18.38560967,5.3593444161,2
2.675189,753618,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6.932586011,4.157431125,6.204096401,7.633737521,3.085293853,4.37823478,2.794076555,12.75262573,9.152276363,9.752611422,20.53264423,19.46023376,31.83645532,16.02432243,21.35333074,40.27666202,17.08702075,25.64356688,15.94784961,22.70225232,24.53803834,20.54068526,2.8087573983,8
3.915608,753620,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688,4.7688066936,10
5.40194,906803,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033,4.9691353815,10
3.667224,907170,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,4.605443309,5.063510854,5.054356634,6.487002783,3.249824674,4.449527673,2.898629013,11.26156785,8.645559228,10.01353897,25.70191674,23.54630943,37.67555555,15.23984039,18.33240486,34.60862468,18.09670554,26.72455961,15.99818533,25.16029964,24.89620388,22.03420876,3.7793288485,7
5.70743,907314,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924,5.6769982137,4
3.820408,908135,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.290078221,5.574372739,8.837171629,3.272045392,4.241453516,2.877009976,13.86555517,8.965027251,10.16298516,18.60526167,23.50868784,32.6922319,15.20262064,25.16946346,47.18211888,16.66635878,21.79216663,15.56821173,20.50923214,19.37500208,19.53807847,4.0040568398,8
3.863657,908447,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166,3.9064101973,1
2.601095,910780,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.045812661,5.913073811,9.970720278,3.278228826,3.769665116,2.875237838,13.75654218,8.611779365,9.051686809,19.90007719,19.99869862,34.28622795,11.07962023,27.73815474,58.65861453,17.03316462,23.88841183,16.1918747,24.53127684,23.02729807,21.45159314,3.4623459771,8
3.699149,910941,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.029119453,5.368869419,5.956582172,3.216053145,4.995821288,2.842052956,12.77186679,8.591801636,8.852128222,16.96192096,20.47618886,33.48106572,17.75375782,16.70161887,33.4185557,16.82980129,21.96811761,14.92642582,23.71456632,22.19216422,18.67799778,3.7272319947,1
4.67468,925342,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246,4.8874981146,5
4.646902,949171,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,4.6938091585,3
6.3196,949172,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,5.952620429,6
5.225125,949174,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,4.7884620555,6
5.285772,949175,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,3.395127119,0,4.241507125,5.474776172,7.991639517,3.395127119,4.578580491,2.87463566,13.64873125,9.734418172,9.24630425,18.6096963,21.99899328,37.42602218,15.27674859,22.96524253,43.14624506,17.18179554,23.14254713,15.36603804,22.89308373,24.64485639,21.08983601,3.9451404365,10
4.182752,949176,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,4.3673676913,4
3.391257,949177,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,3.4287064555,2
3.097849,949178,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,2.705981596,5
3.689041,949179,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,3.2880533246,8
3.630864,1240181,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,3.9903935714,6
2.92156,688086,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,2.9603705359,9
3.037811,688087,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,2.9707895823,1
2.747106,717431,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.917086086,5.21811468,9.155817222,3.556187323,4.537270728,2.955795611,12.83724206,8.786151842,10.10769792,15.72228805,18.99221305,32.73021789,15.24237968,25.80604385,49.10358707,15.28196907,22.62110435,14.84753604,20.91991841,23.50262474,18.47302664,3.0025141162,8
5.811322,724828,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.585650496,5.408320316,10.7458966,4.151945864,4.918415765,3.069178304,11.40481694,9.865022619,9.005697196,22.62851352,20.23892815,35.74868131,16.9059762,30.49262149,57.0308526,18.06711897,24.56705257,17.02221484,17.68932559,18.67605545,16.79460847,5.3139743117,9
3.265602,753616,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.17935239,6.315000135,9.965804292,3.499441912,4.824062036,3.047565261,13.18267185,9.026491855,9.342648061,18.22621584,18.34160487,30.84182634,16.49753815,28.10990824,63.20343288,17.25691955,22.58305983,14.55342159,20.35128,19.87066037,18.38560967,3.2938850511,2
1.768631,753618,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,6.932586011,4.157431125,6.204096401,7.633737521,3.085293853,4.37823478,2.794076555,12.75262573,9.152276363,9.752611422,20.53264423,19.46023376,31.83645532,16.02432243,21.35333074,40.27666202,17.08702075,25.64356688,15.94784961,22.70225232,24.53803834,20.54068526,1.9830915967,3
2.29738,753620,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688,3.4756101275,3
5.547181,906803,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033,5.349738139,1
2.759804,907170,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,4.605443309,5.063510854,5.054356634,6.487002783,3.249824674,4.449527673,2.898629013,11.26156785,8.645559228,10.01353897,25.70191674,23.54630943,37.67555555,15.23984039,18.33240486,34.60862468,18.09670554,26.72455961,15.99818533,25.16029964,24.89620388,22.03420876,2.6168606893,3
5.57391,907314,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924,5.1342284374,5
3.096353,908135,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.290078221,5.574372739,8.837171629,3.272045392,4.241453516,2.877009976,13.86555517,8.965027251,10.16298516,18.60526167,23.50868784,32.6922319,15.20262064,25.16946346,47.18211888,16.66635878,21.79216663,15.56821173,20.50923214,19.37500208,19.53807847,3.3664878821,4
2.992239,908447,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166,2.3185668444,1
2.33054,910780,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5.045812661,5.913073811,9.970720278,3.278228826,3.769665116,2.875237838,13.75654218,8.611779365,9.051686809,19.90007719,19.99869862,34.28622795,11.07962023,27.73815474,58.65861453,17.03316462,23.88841183,16.1918747,24.53127684,23.02729807,21.45159314,2.3861223929,8
2.190449,910941,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.029119453,5.368869419,5.956582172,3.216053145,4.995821288,2.842052956,12.77186679,8.591801636,8.852128222,16.96192096,20.47618886,33.48106572,17.75375782,16.70161887,33.4185557,16.82980129,21.96811761,14.92642582,23.71456632,22.19216422,18.67799778,3.2960653055,1
2.856327,925342,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246,2.5342406691,3
2.745087,949171,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,3.1690578621,3
4.065116,949172,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,4.2071388695,4
2.839594,949174,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,2.3208895041,2
2.386668,949175,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,3.395127119,0,4.241507125,5.474776172,7.991639517,3.395127119,4.578580491,2.87463566,13.64873125,9.734418172,9.24630425,18.6096963,21.99899328,37.42602218,15.27674859,22.96524253,43.14624506,17.18179554,23.14254713,15.36603804,22.89308373,24.64485639,21.08983601,2.2999927984,5
2.3689,949176,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,2.5879641618,4
1.829199,949177,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,1.7942975541,3
2.058951,949178,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,1.7943517556,1
2.61021,949179,291,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,3.3247267539,9
