IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_687,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,REC_R_HSA_3928578_CSV,PWY_R_HSA_109704,PWY_R_HSA_5689896,GO_0001570,GO_0006977_EXP,GO_0008285,GO_0034976_EXP,GO_0042981_EXP,GO_0043547,EXP_MAP2K4,EXP_MAP3K20,EXP_MAP3K6,EXP_CDK10,EXP_AATK,EXP_CDC42BPA,EXP_FAM198A,EXP_MYLK3,PKA_109_ASA_X_Fingerprint_611,PKA_109_CSV_X_Fingerprint_611,PKA_109_HYD_X_Fingerprint_611,PKA_214_ASA_X_Fingerprint_658,EXP_CSNK1D_X_EXP_PPP1R1B,EXP_CSNK1D_X_EXP_STX5,EXP_CSNK1D_X_EXP_YWHAG,EXP_LYN_X_EXP_KITLG,EXP_LYN_X_EXP_SNCA,EXP_RIPK4_X_EXP_P4HB,EXP_SRC_X_EXP_NTN1,EXP_STK24_X_EXP_CCT8,EXP_STK24_X_EXP_MOB1B,PWY_R_HSA_112409_EXP_X_PWY_R_HSA_212436_EXP,GO_0008283_CSV_X_GO_0018108_CSV,GO_0016477_X_GO_0016525,Predicted IC50,Validation
1.467083,753559,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2823987688,0,0,6.3500338689,6.0418615588,3.4736527643,4.5685512417,4.2727699702,4.5799959213,2.8380377124,3.1968202247,0,0,0,0,17.836216531,30.941785907,30.378416608,23.488707482,44.768154421,31.276857235,13.717988256,50.262360815,19.685118153,0,0,0,2.5145752897,1
-0.550506,753614,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,6.0563384407,4.6730721366,3.5698545875,4.8001742287,6.0344192746,5.0737189873,3.5229304442,3.1659823641,0,0,0,0,22.41171378,39.792432944,33.355796409,31.44539114,26.648623189,73.946117809,20.552598801,59.258827414,34.229611018,0,0,0,-0.626280411,5
2.529216,753621,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4333362406,5.324511614,0,5.9787788201,6.0312257216,3.5143806717,4.0324154781,3.8080272323,4.7938023949,2.7967185607,3.0829764634,0,0,0,0,19.54284492,26.462325382,32.009296284,44.020696985,33.729070834,57.411584612,15.946768295,53.98165348,22.791062113,0,0,0,2.7711167688,3
0.82603,753622,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.4058295189,0,5.9036361162,5.9756575265,3.6694626494,4.3555951166,3.5494691515,4.2825133835,2.9561383018,3.1957437467,0,0,0,0,19.880307724,34.40944472,32.822039405,21.776462374,47.763143126,51.810525036,16.147413284,57.380921586,24.619933928,0,0,1,1.3343403657,1
0.934774,753623,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4230752411,0,5.4664080891,6.6369882808,3.6733276306,4.8263921259,5.0054730342,4.4884945325,2.7886179648,3.1806182191,0,0,0,0,18.701765917,31.605364524,28.822284203,21.275644803,25.64544926,43.427071609,16.310510256,51.311692181,19.308687435,0,0,0,1.1136776992,2
3.191637,946353,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.776119,1,1,0,4.9806059233,0,5.3777076755,4.9806059233,0,6.6224212887,6.7676783167,3.4885738637,4.4935476638,3.2914526852,4.7341182828,2.8637926661,3.0349272475,0,0,0,0,19.549387358,32.991138874,33.619751102,29.682137221,54.303460042,48.931212352,16.641069863,54.13094492,23.560129874,0,0,0,3.5002889959,4
0.574598,946354,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.6202638095,0,0,9.7715569858,0,5.6830552843,6.0130809201,3.4623777658,4.3314120041,3.7294779438,4.0313482941,2.7657505109,3.0674501425,0,0,0,0,25.134261,36.504448039,39.32400324,28.44523275,35.302522685,67.92281028,16.792949713,62.172807522,25.285811608,0,0,0,0.7216515707,10
3.837248,946355,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.787478,0,0,0,0,0,0,28.101780067,0,6.7137943961,5.7083121846,3.3886562218,4.1830750356,4.1744329281,4.6989945689,2.7628088331,2.853938978,0,0,0,0,17.085357775,25.540547212,26.272014962,31.586942691,48.960702567,50.409011872,13.811659389,55.370721903,23.494731646,0,0,0,3.8671960731,8
-0.165589,946356,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.8122885527,0,5.9813033276,6.236311149,3.6336718221,4.6771559445,3.9168515506,4.2769090777,3.6059594523,3.1184701205,0,0,0,0,20.888707295,34.048555304,34.081705657,29.806903189,30.235151081,60.71822059,20.103727877,59.46169553,24.670568655,0,0,0,-0.713099528,8
3.680985,735784,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.813307,0,0,0,0,0,0,9.6772447164,0,5.5832381506,7.1393695075,3.2787191675,4.3694384171,3.4300869931,5.067108678,2.7726316159,3.0463042035,0,0,0,0,18.555926781,31.31537923,31.059633613,29.878528877,56.38201438,43.35267671,17.834456221,53.501636856,22.62237303,0,0,0,3.334251811,8
3.391329,753555,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5292712426,11.39094966,0,7.5269402313,7.4654408358,3.288871077,4.4712085487,3.6219686868,4.794346204,3.0031508174,3.0647827491,10.7,0.592294,-1.67,0,18.072753972,26.153917453,28.315689227,35.351536954,47.286668252,47.281818679,13.49860883,54.432552712,24.081243474,0,0,0,3.3248730796,6
1.916145,753559,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2823987688,0,0,6.3500338689,6.0418615588,3.4736527643,4.5685512417,4.2727699702,4.5799959213,2.8380377124,3.1968202247,0,0,0,0,17.836216531,30.941785907,30.378416608,23.488707482,44.768154421,31.276857235,13.717988256,50.262360815,19.685118153,0,0,0,3.2783403138,5
1.814478,753614,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,6.0563384407,4.6730721366,3.5698545875,4.8001742287,6.0344192746,5.0737189873,3.5229304442,3.1659823641,0,0,0,0,22.41171378,39.792432944,33.355796409,31.44539114,26.648623189,73.946117809,20.552598801,59.258827414,34.229611018,0,0,0,2.6048895981,6
3.184409,753621,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4333362406,5.324511614,0,5.9787788201,6.0312257216,3.5143806717,4.0324154781,3.8080272323,4.7938023949,2.7967185607,3.0829764634,0,0,0,0,19.54284492,26.462325382,32.009296284,44.020696985,33.729070834,57.411584612,15.946768295,53.98165348,22.791062113,0,0,0,2.7999204216,5
2.442278,753622,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.4058295189,0,5.9036361162,5.9756575265,3.6694626494,4.3555951166,3.5494691515,4.2825133835,2.9561383018,3.1957437467,0,0,0,0,19.880307724,34.40944472,32.822039405,21.776462374,47.763143126,51.810525036,16.147413284,57.380921586,24.619933928,0,0,1,3.3057044764,10
3.488941,753623,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4230752411,0,5.4664080891,6.6369882808,3.6733276306,4.8263921259,5.0054730342,4.4884945325,2.7886179648,3.1806182191,0,0,0,0,18.701765917,31.605364524,28.822284203,21.275644803,25.64544926,43.427071609,16.310510256,51.311692181,19.308687435,0,0,0,3.0240124407,4
3.489699,946353,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.776119,1,1,0,4.9806059233,0,5.3777076755,4.9806059233,0,6.6224212887,6.7676783167,3.4885738637,4.4935476638,3.2914526852,4.7341182828,2.8637926661,3.0349272475,0,0,0,0,19.549387358,32.991138874,33.619751102,29.682137221,54.303460042,48.931212352,16.641069863,54.13094492,23.560129874,0,0,0,3.3467078318,8
1.869713,946354,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.6202638095,0,0,9.7715569858,0,5.6830552843,6.0130809201,3.4623777658,4.3314120041,3.7294779438,4.0313482941,2.7657505109,3.0674501425,0,0,0,44,25.134261,36.504448039,39.32400324,28.44523275,35.302522685,67.92281028,16.792949713,62.172807522,25.285811608,0,0,0,1.6963109839,6
3.7077,946355,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.787478,0,0,0,0,0,0,28.101780067,0,6.7137943961,5.7083121846,3.3886562218,4.1830750356,4.1744329281,4.6989945689,2.7628088331,2.853938978,0,0,0,18.1,17.085357775,25.540547212,26.272014962,31.586942691,48.960702567,50.409011872,13.811659389,55.370721903,23.494731646,0,0,0,3.0827937118,9
2.8328,946356,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.8122885527,0,5.9813033276,6.236311149,3.6336718221,4.6771559445,3.9168515506,4.2769090777,3.6059594523,3.1184701205,0,0,0,0,20.888707295,34.048555304,34.081705657,29.806903189,30.235151081,60.71822059,20.103727877,59.46169553,24.670568655,0,0,0,1.8310974266,6
0.718751,735784,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0.813307,0,0,0,0,0,0,9.6772447164,0,5.5832381506,7.1393695075,3.2787191675,4.3694384171,3.4300869931,5.067108678,2.7726316159,3.0463042035,0,0,0,0,18.555926781,31.31537923,31.059633613,29.878528877,56.38201438,43.35267671,17.834456221,53.501636856,22.62237303,0,0,0,1.5799542532,9
4.078415,753555,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5292712426,11.39094966,0,7.5269402313,7.4654408358,3.288871077,4.4712085487,3.6219686868,4.794346204,3.0031508174,3.0647827491,0,0,0,0,18.072753972,26.153917453,28.315689227,35.351536954,47.286668252,47.281818679,13.49860883,54.432552712,24.081243474,0,0,0,2.592244606,9
3.804328,753614,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6.0563384407,4.6730721366,3.5698545875,4.8001742287,6.0344192746,5.0737189873,3.5229304442,3.1659823641,0,0,0,0,22.41171378,39.792432944,33.355796409,31.44539114,26.648623189,73.946117809,20.552598801,59.258827414,34.229611018,0,0,0,2.5700865996,5
1.950198,753621,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.4333362406,5.324511614,0,5.9787788201,6.0312257216,3.5143806717,4.0324154781,3.8080272323,4.7938023949,2.7967185607,3.0829764634,0,0,0,0,19.54284492,26.462325382,32.009296284,44.020696985,33.729070834,57.411584612,15.946768295,53.98165348,22.791062113,0,0,0,2.5726729304,3
3.210914,753622,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.4058295189,0,5.9036361162,5.9756575265,3.6694626494,4.3555951166,3.5494691515,4.2825133835,2.9561383018,3.1957437467,0,0,0,0,19.880307724,34.40944472,32.822039405,21.776462374,47.763143126,51.810525036,16.147413284,57.380921586,24.619933928,0,0,1,1.4842297421,9
2.101183,753623,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4230752411,0,5.4664080891,6.6369882808,3.6733276306,4.8263921259,5.0054730342,4.4884945325,2.7886179648,3.1806182191,0,0,0,0,18.701765917,31.605364524,28.822284203,21.275644803,25.64544926,43.427071609,16.310510256,51.311692181,19.308687435,0,0,0,1.7474506182,6
1.516277,946353,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0.776119,1,1,0,4.9806059233,0,5.3777076755,4.9806059233,0,6.6224212887,6.7676783167,3.4885738637,4.4935476638,3.2914526852,4.7341182828,2.8637926661,3.0349272475,0,0,0,0,19.549387358,32.991138874,33.619751102,29.682137221,54.303460042,48.931212352,16.641069863,54.13094492,23.560129874,0,0,0,2.3377513165,8
3.880099,946355,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0.787478,0,0,0,0,0,0,28.101780067,0,6.7137943961,5.7083121846,3.3886562218,4.1830750356,4.1744329281,4.6989945689,2.7628088331,2.853938978,0,0,0,0,17.085357775,25.540547212,26.272014962,31.586942691,48.960702567,50.409011872,13.811659389,55.370721903,23.494731646,0,0,0,3.9739564598,3
0.207147,946356,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.8122885527,0,5.9813033276,6.236311149,3.6336718221,4.6771559445,3.9168515506,4.2769090777,3.6059594523,3.1184701205,0,0,0,0,20.888707295,34.048555304,34.081705657,29.806903189,30.235151081,60.71822059,20.103727877,59.46169553,24.670568655,0,0,0,1.2492534554,3
1.006674,735784,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.813307,0,0,0,0,0,0,9.6772447164,0,5.5832381506,7.1393695075,3.2787191675,4.3694384171,3.4300869931,5.067108678,2.7726316159,3.0463042035,0,0,0,0,18.555926781,31.31537923,31.059633613,29.878528877,56.38201438,43.35267671,17.834456221,53.501636856,22.62237303,0,0,0,0.6282383692,3
3.1323,753555,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.5292712426,11.39094966,0,7.5269402313,7.4654408358,3.288871077,4.4712085487,3.6219686868,4.794346204,3.0031508174,3.0647827491,10.7,0.592294,-1.67,0,18.072753972,26.153917453,28.315689227,35.351536954,47.286668252,47.281818679,13.49860883,54.432552712,24.081243474,0,0,0,3.7975370834,9
