IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_153_CHA,REC_R_HSA_194922,GO_0001649,GO_0001649_EXP,GO_0016477_CSV,GO_0019722_CSV,GO_0030154,GO_0045765_EXP,GO_2001240,SFAM_Csk,EXP_MINK1,EXP_LIMK2,EXP_WNK4,EXP_ROCK1,PKA_133_ASA_X_Fingerprint_696,PKA_133_B62_X_Fingerprint_696,PKA_133_CSV_X_Fingerprint_696,PKA_133_ENG_X_Fingerprint_696,PKA_133_EXP_X_Fingerprint_696,PKA_133_VOL_X_Fingerprint_696,PKA_133_X_Fingerprint_696,PKA_146_EXP_X_Fingerprint_698,PKA_151_POL_X_Fingerprint_576,PKA_151_POL_X_Fingerprint_611,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_RPA1,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_LARP7,EXP_LIMK2_X_EXP_ACACB,EXP_MAP2K7_X_EXP_FAS,EXP_MAP2K7_X_EXP_MYC,EXP_MINK1_X_EXP_CHRNE,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TRIB3_X_EXP_TGS1,PWY_R_HSA_168138_X_PWY_R_HSA_194840,PWY_R_HSA_5683057_X_PWY_R_HSA_8953854,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0007030_EXP_X_GO_0048013_EXP,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,Predicted IC50,Validation
3.86756,753583,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,4.4885037243,3.7220621905,3.0367582321,3.7516922072,0,0,0,0,0,0,0,0,0,1.1,0,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,71.728083884,18.024507238,41.676381497,13.025366505,24.64880427,48.613799215,16.787269899,23.906460326,33.646271173,19.406312446,29.549021648,22.006728402,27.254606056,41.809389631,0,0,0,0.6210291069,0,0,0,4.4417780837,4
3.436755,910911,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.6572398587,5.6363050409,3.0917080726,3.4677489705,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,54.445832226,32.008003165,46.283271653,18.674405076,22.100954853,46.95151388,16.040349189,23.921268956,12.904076155,20.614843731,35.418649003,23.867625919,25.861799319,37.713414398,0,0,0,0,0,0,0,3.6482945647,9
0.663368,753531,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.8533018766,6.5878173851,3.3189522862,3.2666646175,0,0,0,0,0,0,0,0,0,0,1.5,0,0,11.577534537,14.435698684,16.936155527,42.962897797,50.120188111,45.683885969,52.03572103,23.742365634,26.329040994,58.522392844,19.199061814,20.646585205,10.715392505,16.872249379,31.879972337,22.797128037,22.776731356,56.691408682,0,0,0,0,0,0,0,0.7970289282,2
-1.231995,753532,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3082802517,4.2153783231,3.1056330538,3.4992217645,0,0,0,0,0,0,0,0,0,0,0,0,0,14.163588346,15.061972595,19.358425244,55.554308106,53.475948071,16.984357457,41.410667597,14.906801747,20.628335503,46.417581132,16.992178761,24.664611511,15.850661482,23.052497848,28.375412662,21.652637247,42.056586698,33.920010527,0,0,0,0,0,0,0,4.4153146826,10
3.654214,753583,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,4.4885037243,3.7220621905,3.0367582321,3.7516922072,0,0,0,0,0,0,0,0,1.1,0,3.3,0,0,14.468722261,16.84875242,29.601568415,66.737478546,71.728083884,18.024507238,41.676381497,13.025366505,24.64880427,48.613799215,16.787269899,23.906460326,33.646271173,19.406312446,29.549021648,22.006728402,27.254606056,41.809389631,0,0,0,0.6210291069,0,0,0,2.3949139384,2
1.873515,910911,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.6572398587,5.6363050409,3.0917080726,3.4677489705,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,54.445832226,32.008003165,46.283271653,18.674405076,22.100954853,46.95151388,16.040349189,23.921268956,12.904076155,20.614843731,35.418649003,23.867625919,25.861799319,37.713414398,0,0,0,0,0,0,0,2.8605122236,7
1.06402,753531,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4.8533018766,6.5878173851,3.3189522862,3.2666646175,0,0,0,0,0,0,0,0,0,0,0,1.5,0,11.577534537,14.435698684,16.936155527,42.962897797,50.120188111,45.683885969,52.03572103,23.742365634,26.329040994,58.522392844,19.199061814,20.646585205,10.715392505,16.872249379,31.879972337,22.797128037,22.776731356,56.691408682,0,0,0,0,0,0,0,1.3079702259,2
3.715114,753532,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3082802517,4.2153783231,3.1056330538,3.4992217645,0,0,0,0,0,0,0,0,0,0,0,0,0,14.163588346,15.061972595,19.358425244,55.554308106,53.475948071,16.984357457,41.410667597,14.906801747,20.628335503,46.417581132,16.992178761,24.664611511,15.850661482,23.052497848,28.375412662,21.652637247,42.056586698,33.920010527,0,0,0,0,0,0,0,3.2821014298,4
2.373391,753583,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,4.4885037243,3.7220621905,3.0367582321,3.7516922072,0,0,0,0,0,0,0,0,0,1.1,0,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,71.728083884,18.024507238,41.676381497,13.025366505,24.64880427,48.613799215,16.787269899,23.906460326,33.646271173,19.406312446,29.549021648,22.006728402,27.254606056,41.809389631,0,0,0,0.6210291069,0,0,0,3.0120945865,6
2.377387,910911,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4.6572398587,5.6363050409,3.0917080726,3.4677489705,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,54.445832226,32.008003165,46.283271653,18.674405076,22.100954853,46.95151388,16.040349189,23.921268956,12.904076155,20.614843731,35.418649003,23.867625919,25.861799319,37.713414398,0,0,0,0,0,0,0,2.0588234876,8
-1.872317,753531,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.8533018766,6.5878173851,3.3189522862,3.2666646175,0,0,0,0,0,0,0,0,0,0,0,1.5,0,11.577534537,14.435698684,16.936155527,42.962897797,50.120188111,45.683885969,52.03572103,23.742365634,26.329040994,58.522392844,19.199061814,20.646585205,10.715392505,16.872249379,31.879972337,22.797128037,22.776731356,56.691408682,0,0,0,0,0,0,0,0.5892652771,5
3.841203,753532,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3082802517,4.2153783231,3.1056330538,3.4992217645,0,0,0,0,0,0,0,0,0,0,0,0,-42.9,14.163588346,15.061972595,19.358425244,55.554308106,53.475948071,16.984357457,41.410667597,14.906801747,20.628335503,46.417581132,16.992178761,24.664611511,15.850661482,23.052497848,28.375412662,21.652637247,42.056586698,33.920010527,0,0,0,0,0,0,0,2.7558345987,8
3.405108,753583,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,4.4885037243,3.7220621905,3.0367582321,3.7516922072,0,0,0,0,0,0,0,0,0,1.1,0,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,71.728083884,18.024507238,41.676381497,13.025366505,24.64880427,48.613799215,16.787269899,23.906460326,33.646271173,19.406312446,29.549021648,22.006728402,27.254606056,41.809389631,0,0,0,0.6210291069,0,0,0,2.5011661769,5
3.917762,910911,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.6572398587,5.6363050409,3.0917080726,3.4677489705,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,54.445832226,32.008003165,46.283271653,18.674405076,22.100954853,46.95151388,16.040349189,23.921268956,12.904076155,20.614843731,35.418649003,23.867625919,25.861799319,37.713414398,0,0,0,0,0,0,0,3.0874425005,8
3.1191,753531,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4.8533018766,6.5878173851,3.3189522862,3.2666646175,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,11.577534537,14.435698684,16.936155527,42.962897797,50.120188111,45.683885969,52.03572103,23.742365634,26.329040994,58.522392844,19.199061814,20.646585205,10.715392505,16.872249379,31.879972337,22.797128037,22.776731356,56.691408682,0,0,0,0,0,0,0,2.9717726593,9
1.990439,753532,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3082802517,4.2153783231,3.1056330538,3.4992217645,0,0,0,0,0,0,0,0,0,0,0,0,0,14.163588346,15.061972595,19.358425244,55.554308106,53.475948071,16.984357457,41.410667597,14.906801747,20.628335503,46.417581132,16.992178761,24.664611511,15.850661482,23.052497848,28.375412662,21.652637247,42.056586698,33.920010527,0,0,0,0,0,0,0,4.2390395182,10
3.817624,753583,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,4.4885037243,3.7220621905,3.0367582321,3.7516922072,0,0,0,0,0,0,0,0,1.1,1.1,3.3,3.3,0,14.468722261,16.84875242,29.601568415,66.737478546,71.728083884,18.024507238,41.676381497,13.025366505,24.64880427,48.613799215,16.787269899,23.906460326,33.646271173,19.406312446,29.549021648,22.006728402,27.254606056,41.809389631,0,0,0,0.6210291069,0,0,0,3.6407546356,6
2.724554,910911,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4.6572398587,5.6363050409,3.0917080726,3.4677489705,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45269153,15.419353822,16.775694364,45.816331383,54.445832226,32.008003165,46.283271653,18.674405076,22.100954853,46.95151388,16.040349189,23.921268956,12.904076155,20.614843731,35.418649003,23.867625919,25.861799319,37.713414398,0,0,0,0,0,0,0,3.6809092704,4
-0.335934,753531,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4.8533018766,6.5878173851,3.3189522862,3.2666646175,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,11.577534537,14.435698684,16.936155527,42.962897797,50.120188111,45.683885969,52.03572103,23.742365634,26.329040994,58.522392844,19.199061814,20.646585205,10.715392505,16.872249379,31.879972337,22.797128037,22.776731356,56.691408682,0,0,0,0,0,0,0,-0.055289218,3
