IC50,Cancer,Drug,EXP_TGFBR1_X_EXP_PARD6A,PWY_R_HSA_1640170,GO_0007257,REC_R_HSA_5218854_EXP_X_REC_R_HSA_5617816_EXP,PWY_R_HSA_389357_EXP_X_PWY_R_HSA_6802952_EXP,GO_0046777_EXP,GO_0018108_X_GO_1903955,GO_0034976_X_GO_0043406,PWY_R_HSA_4420097_X_PWY_R_HSA_5205647,GO_0046777_EXP_X_GO_0051402_EXP,PWY_R_HSA_75153_EXP_X_PWY_R_HSA_983712_EXP,REC_R_HSA_445797_EXP_X_REC_R_HSA_5672010_EXP,GO_0032760_EXP,GO_0006464,PWY_R_HSA_5205647_EXP_X_PWY_R_HSA_6804756_EXP,DOM_Pkinase_EXP,EXP_EGFR_X_EXP_LPAR2,EXP_TRIO_X_EXP_DOCK1,GO_0007275_CSV_X_GO_0018108_CSV,EXP_YES1_X_EXP_TIAM1,EXP_TGFBR1_X_EXP_WWP1,PWY_R_HSA_5673000_CSV,MUT_CDK13_EXP,PWY_R_HSA_2219528_X_PWY_R_HSA_6802952,GO_0032092,PWY_R_HSA_373752_X_PWY_R_HSA_392499,REC_R_HSA_3928577_EXP_X_REC_R_HSA_3928647_EXP,GO_0000187_EXP_X_GO_0000910_EXP,PKA_96_ASA,PWY_R_HSA_194313_EXP_X_PWY_R_HSA_373755_EXP,EXP_YES1_X_EXP_GIT2,PWY_R_HSA_5663202_EXP,GO_0000278,GO_0008360_EXP,GO_0007140_EXP,PWY_R_HSA_2672351_X_PWY_R_HSA_438064,GO_0046329_EXP_X_GO_0090263_EXP,GO_0007140_EXP_X_GO_0035556_EXP,GO_0001558_X_GO_0090630,MUT_STK31_EXP,PWY_R_HSA_2029481_EXP_X_PWY_R_HSA_5663202_EXP,PKA_249_VOL,PWY_R_HSA_6807070,REC_R_HSA_194913_X_REC_R_HSA_5672010,PWY_R_HSA_194315_CSV_X_PWY_R_HSA_3928663_CSV,PWY_R_HSA_193704_EXP_X_PWY_R_HSA_5205647_EXP,MOT_2D_beta2strand_CSV,GO_0018105_EXP,PWY_R_HSA_983712,PWY_R_HSA_1280215_X_PWY_R_HSA_166016,EXP_BLK_X_EXP_PLCG1,PWY_R_HSA_2871796_EXP_X_PWY_R_HSA_8953854_EXP,GO_0000910,PWY_R_HSA_373752_EXP_X_PWY_R_HSA_397014_EXP,GO_0000278_EXP_X_GO_0030168_EXP,Fingerprint_644,PWY_R_HSA_373755,GO_0007265_X_GO_0046329,EXP_PRKG1_X_EXP_ATP1B1,GO_0000910_EXP_X_GO_0007169_EXP,PWY_R_HSA_69620_EXP,GO_0035019_EXP,EXP_EGFR_X_EXP_STAT3,GO_0014068_CSV,SDOM_subdomainIV_CSV,GO_0032436_EXP,PKA_59_HYD,GO_0007257_X_GO_0060159,GO_0043525_EXP,GO_0032755_EXP_X_GO_0045087_EXP,EXP_PRKG1_X_EXP_CALM2,PWY_R_HSA_193704_X_PWY_R_HSA_5205647,GO_0000910_X_GO_0051402
1.761192,905978,5,14.6170971018785,0,0,0,0,9.77460991156541,0,0,0,0,0,0,0,0,0,0,29.6765540188144,26.29291431922,0,31.3511374833227,16.4667067786747,0,0,0,0,0,0,0,0,0,36.1118811074832,3.16288360750724,0,3.21278208635891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9145986956012,0,0,0,0,0,0,0,28.3397221839386,0,0,3.07879792947674,36.6471325881985,0,0,0,0,0,0,0,35.0648792871043,0,0
2.05513,905980,5,20.4845056155874,0,0,0,0,23.7847709554939,0,3,0,0,0,0,0,0,0,7.11028111536283,33.9161604846097,26.0262548599617,0,28.7379541211456,20.6347307367137,0,0,0,2,0,0,0,0,0,40.6949587202614,0,1,0,0,0,0,0,0,0,0,-51.6,0,0,0,0,0,23.0473537402267,0,0,14.6999775125325,0,0,0,0,0,0,0,26.3007019361491,0,0,0,39.8907692730192,0,0,7.85986267193018,0,0,0,0,33.7874700695261,0,0
1.726487,909250,5,15.607662493719,2,0,0,0,6.18654111813391,0,0,0,0,0,0,0,0,0,11.7138769250934,30.5185880555294,30.4816142674938,0,26.038586336534,13.8764950859374,0,0,0,0,0,0,0,0,0,36.5850635241755,0,0,10.0353620060876,0,0,0,0,0,0,0,0,0,0,0,0,0,20.927132980311,0,1,17.1243180906888,0,0,0,0,0,0,0,34.6176682963203,0,10.0353620060876,0,41.2520345338451,0,0,0,0,0,0,0,33.8325828884266,0,0
1.063258,909730,5,18.5372537388766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02885250484539,19.8624618126408,16.1797967261116,0,35.2552371143544,11.9671827685586,0,0,0,0,0,0,0,0,0,36.0236556979452,0,1,0,0,0,0,0,0,2.94360629293945,0,0,1,0,0,0,0,8.02885250484539,0,0,19.0871106409127,0,0,0,0,0,0,0,14.6780967137471,0,0,0,22.7110862191586,0,0,0,0,0,0,0,36.0130593756036,0,0
5.904683,909974,5,17.170974467462,0,0,0,0,21.2412042289333,0,0,1,0,0,0,0,0,0,10.6061934045005,44.3649280248225,32.8809683792461,0,26.4163079117379,15.1658303369541,0,0,0,0,0,0,0,0,0,37.3106475862319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3001678966837,0,0,12.864344505091,0,0,13.4120719854841,0,0,0,0,31.3359828218648,0,0,0,54.6235099128526,0,0,0,0,0,0,0,36.3252224669938,0,0
2.503407,910920,5,17.6348254059366,0,1,0,0,17.1460038198272,0,0,0,0,0,0,0,0,0,10.0525008644997,25.3042174985425,25.69438601697,0,27.5327829620333,14.806100589215,0,0,0,0,0,0,0,0,0,34.6030190168187,3.58584476088959,0,0,0,0,0,0,0,0,12.9413966749485,0,0,0,0,0,0,13.861757944427,0,2,13.3348507285257,23.230830578434,1,0,0,0,0,0,30.8501004390679,21.0690012184549,0,0,50.89478512513,0,0,0,0,0,0,0,34.3217226228275,0,0
3.399236,753558,6,12.3006018427991,1,0,0,0,12.0318148988549,0,0,0,0,0,0,0,0,0,8.58388749455026,34.7953435213931,33.1910281707767,0,27.8828908412973,17.1973956202966,0,0,0,0,0,0,0,0,0,41.5103959491904,0,0,3.44792740430465,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58388749455026,0,0,13.7788659094893,0,1,0,0,0,0,0,26.8506364916563,29.5966209279278,0,0,43.3353920175431,0,0.820231,0,0,0,0,0,34.7032729012603,0,0
1.72108,753577,6,15.8673215928293,0,1,0,0,3.41720653685518,0,0,0,0,0,0,0,0,0,7.24520319020802,22.0778569873363,29.3115808601063,0,29.0683143736926,15.9496385613528,0,0,0,0,1,52.4929692674005,0,17.2,0,40.978919723994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640307236864,0,0,3.41519452601853,0,0,13.4297625790445,0,1,0,0,0,1,0,27.085531351608,0,0,0,42.4930403206855,0,0,0,0,0,0,0,35.4674923299011,0,0
1.164934,905948,6,14.4497795600207,0,1,0,0,3.24164561149916,0,0,0,12.1830410407796,0,0,0,0,0,4.77407189517623,41.2860366958566,30.7332105540596,0,26.3374464935004,20.2116359574657,0,0,0,0,0,0,12.1830410407796,0,0,33.4753594186785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0704302551401,0,0,15.7555717375633,0,1,0,19.0561422487556,0,0,0,34.5774659782676,31.2391832895352,0,0,53.5349358961881,0,0,0,0,1,0,0,36.5727992880049,0,1
4.008914,905978,6,14.6170971018785,0,0,0,0,9.77460991156541,0,0,0,0,0,0,0,0,0,0,29.6765540188144,26.29291431922,0,31.3511374833227,16.4667067786747,0,0,0,0,0,0,0,0,0,36.1118811074832,3.16288360750724,0,3.21278208635891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9145986956012,0,0,0,0,0,0,0,28.3397221839386,0,0,3.07879792947674,36.6471325881985,0,0,0,0,0,0,0,35.0648792871043,0,0
3.723316,905980,6,20.4845056155874,0,0,0,0,23.7847709554939,0,3,0,0,0,0,0,0,0,7.11028111536283,33.9161604846097,26.0262548599617,0,28.7379541211456,20.6347307367137,0,0,0,2,0,0,0,0,0,40.6949587202614,0,1,0,0,0,0,0,0,0,0,-51.6,0,0,0,0,0,23.0473537402267,0,0,14.6999775125325,0,0,0,0,0,0,0,26.3007019361491,0,0,0,39.8907692730192,0,0,7.85986267193018,0,0,0,0,33.7874700695261,0,0
4.163585,909250,6,15.607662493719,2,0,0,0,6.18654111813391,0,0,0,0,0,0,0,0,0,11.7138769250934,30.5185880555294,30.4816142674938,0,26.038586336534,13.8764950859374,0,0,0,0,0,0,0,0,0,36.5850635241755,0,0,10.0353620060876,0,0,0,0,0,0,0,0,0,0,0,0,0,20.927132980311,0,1,17.1243180906888,0,0,0,0,0,0,0,34.6176682963203,0,10.0353620060876,0,41.2520345338451,0,0,0,0,0,0,0,33.8325828884266,0,0
1.642266,909730,6,18.5372537388766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02885250484539,19.8624618126408,16.1797967261116,0,35.2552371143544,11.9671827685586,0,0,0,0,0,0,0,0,0,36.0236556979452,0,1,0,0,0,0,0,0,2.94360629293945,0,0,1,0,0,0,0,8.02885250484539,0,0,19.0871106409127,0,0,0,0,0,0,0,14.6780967137471,0,0,0,22.7110862191586,0,0,0,0,0,0,0,36.0130593756036,0,0
3.451657,909974,6,17.170974467462,0,0,0,0,21.2412042289333,0,0,1,0,0,0,0,0,0,10.6061934045005,44.3649280248225,32.8809683792461,0,26.4163079117379,15.1658303369541,0,0,0,0,0,0,0,0,0,37.3106475862319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3001678966837,0,0,12.864344505091,0,0,13.4120719854841,0,0,0,0,31.3359828218648,0,0,0,54.6235099128526,0,0,0,0,0,0,0,36.3252224669938,0,0
2.762239,910920,6,17.6348254059366,0,1,0,0,17.1460038198272,0,0,0,0,0,0,0,0,0,10.0525008644997,25.3042174985425,25.69438601697,0,27.5327829620333,14.806100589215,0,0,0,0,0,0,0,0,0,34.6030190168187,3.58584476088959,0,0,0,0,0,0,0,0,12.9413966749485,0,0,0,0,0,0,13.861757944427,0,2,13.3348507285257,23.230830578434,1,0,0,0,0,0,30.8501004390679,21.0690012184549,0,0,50.89478512513,0,0,0,0,0,0,0,34.3217226228275,0,0
4.242077,753558,29,12.3006018427991,1,0,0,0,12.0318148988549,0,0,0,0,0,0,0,0,0,8.58388749455026,34.7953435213931,33.1910281707767,0,27.8828908412973,17.1973956202966,0,0,0,0,0,0,0,0,0,41.5103959491904,0,0,3.44792740430465,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58388749455026,0,0,13.7788659094893,0,1,0,0,0,0,0,26.8506364916563,29.5966209279278,0,0,43.3353920175431,0,0.820231,0,0,0,0,0,34.7032729012603,0,0
2.259604,753577,29,15.8673215928293,0,1,0,0,3.41720653685518,0,0,0,0,0,0,0,0,0,7.24520319020802,22.0778569873363,29.3115808601063,0,29.0683143736926,15.9496385613528,0,0,0,0,1,52.4929692674005,0,17.2,0,40.978919723994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640307236864,0,0,3.41519452601853,0,0,13.4297625790445,0,1,0,0,0,1,0,27.085531351608,0,0,0,42.4930403206855,0,0,0,0,0,0,0,35.4674923299011,0,0
3.246751,905978,29,14.6170971018785,0,0,0,0,9.77460991156541,0,0,0,0,0,0,0,0,0,0,29.6765540188144,26.29291431922,0,31.3511374833227,16.4667067786747,0,0,0,0,0,0,0,0,0,36.1118811074832,3.16288360750724,0,3.21278208635891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9145986956012,0,0,0,0,0,0,0,28.3397221839386,0,0,3.07879792947674,36.6471325881985,0,0,0,0,0,0,0,35.0648792871043,0,0
1.639034,905980,29,20.4845056155874,0,0,0,0,23.7847709554939,0,3,0,0,0,0,0,0,0,7.11028111536283,33.9161604846097,26.0262548599617,0,28.7379541211456,20.6347307367137,0,0,0,2,0,0,0,0,0,40.6949587202614,0,1,0,0,0,0,0,0,0,0,-51.6,0,0,0,0,0,23.0473537402267,0,0,14.6999775125325,0,0,0,0,0,0,0,26.3007019361491,0,0,0,39.8907692730192,0,0,7.85986267193018,0,0,0,0,33.7874700695261,0,0
3.230076,909250,29,15.607662493719,2,0,0,0,6.18654111813391,0,0,0,0,0,0,0,0,0,11.7138769250934,30.5185880555294,30.4816142674938,0,26.038586336534,13.8764950859374,0,0,0,0,0,0,0,0,0,36.5850635241755,0,0,10.0353620060876,0,0,0,0,0,0,0,0,0,0,0,0,0,20.927132980311,0,1,17.1243180906888,0,0,0,0,0,0,0,34.6176682963203,0,10.0353620060876,0,41.2520345338451,0,0,0,0,0,0,0,33.8325828884266,0,0
-0.688578,909730,29,18.5372537388766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02885250484539,19.8624618126408,16.1797967261116,0,35.2552371143544,11.9671827685586,0,0,0,0,0,0,0,0,0,36.0236556979452,0,1,0,0,0,0,0,0,2.94360629293945,0,0,1,0,0,0,0,8.02885250484539,0,0,19.0871106409127,0,0,0,0,0,0,0,14.6780967137471,0,0,0,22.7110862191586,0,0,0,0,0,0,0,36.0130593756036,0,0
5.187751,909974,29,17.170974467462,0,0,0,0,21.2412042289333,0,0,1,0,0,0,0,0,0,10.6061934045005,44.3649280248225,32.8809683792461,0,26.4163079117379,15.1658303369541,0,0,0,0,0,0,0,0,0,37.3106475862319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3001678966837,0,0,12.864344505091,0,0,13.4120719854841,0,0,0,0,31.3359828218648,0,0,0,54.6235099128526,0,0,0,0,0,0,0,36.3252224669938,0,0
4.06074,753558,30,12.3006018427991,1,0,0,0,12.0318148988549,0,0,0,0,0,0,0,0,0,8.58388749455026,34.7953435213931,33.1910281707767,0,27.8828908412973,17.1973956202966,0,0,0,0,0,0,0,0,0,41.5103959491904,0,0,3.44792740430465,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58388749455026,0,0,13.7788659094893,0,1,0,0,0,0,0,26.8506364916563,29.5966209279278,0,0,43.3353920175431,0,0.820231,0,0,0,0,0,34.7032729012603,0,0
3.284716,753577,30,15.8673215928293,0,1,0,0,3.41720653685518,0,0,0,0,0,0,0,0,0,7.24520319020802,22.0778569873363,29.3115808601063,0,29.0683143736926,15.9496385613528,0,0,0,0,1,52.4929692674005,0,17.2,0,40.978919723994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640307236864,0,0,3.41519452601853,0,0,13.4297625790445,0,1,0,0,0,1,0,27.085531351608,0,0,0,42.4930403206855,0,0,0,0,0,0,0,35.4674923299011,0,0
4.704922,905948,30,14.4497795600207,0,1,0,0,3.24164561149916,0,0,0,12.1830410407796,0,0,0,0,0,4.77407189517623,41.2860366958566,30.7332105540596,0,26.3374464935004,20.2116359574657,0,0,0,0,0,0,12.1830410407796,0,0,33.4753594186785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0704302551401,0,0,15.7555717375633,0,1,0,19.0561422487556,0,0,0,34.5774659782676,31.2391832895352,0,0,53.5349358961881,0,0,0,0,1,0,0,36.5727992880049,0,1
4.28946,905978,30,14.6170971018785,0,0,0,0,9.77460991156541,0,0,0,0,0,0,0,0,0,0,29.6765540188144,26.29291431922,0,31.3511374833227,16.4667067786747,0,0,0,0,0,0,0,0,0,36.1118811074832,3.16288360750724,0,3.21278208635891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9145986956012,0,0,0,0,0,0,0,28.3397221839386,0,0,3.07879792947674,36.6471325881985,0,0,0,0,0,0,0,35.0648792871043,0,0
2.308788,905980,30,20.4845056155874,0,0,0,0,23.7847709554939,0,3,0,0,0,0,0,0,0,7.11028111536283,33.9161604846097,26.0262548599617,0,28.7379541211456,20.6347307367137,0,0,0,2,0,0,0,0,0,40.6949587202614,0,1,0,0,0,0,0,0,0,0,-51.6,0,0,0,0,0,23.0473537402267,0,0,14.6999775125325,0,0,0,0,0,0,0,26.3007019361491,0,0,0,39.8907692730192,0,0,7.85986267193018,0,0,0,0,33.7874700695261,0,0
1.959091,909250,30,15.607662493719,2,0,0,0,6.18654111813391,0,0,0,0,0,0,0,0,0,11.7138769250934,30.5185880555294,30.4816142674938,0,26.038586336534,13.8764950859374,0,0,0,0,0,0,0,0,0,36.5850635241755,0,0,10.0353620060876,0,0,0,0,0,0,0,0,0,0,0,0,0,20.927132980311,0,1,17.1243180906888,0,0,0,0,0,0,0,34.6176682963203,0,10.0353620060876,0,41.2520345338451,0,0,0,0,0,0,0,33.8325828884266,0,0
0.719533,909730,30,18.5372537388766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02885250484539,19.8624618126408,16.1797967261116,0,35.2552371143544,11.9671827685586,0,0,0,0,0,0,0,0,0,36.0236556979452,0,1,0,0,0,0,0,0,2.94360629293945,0,0,1,0,0,0,0,8.02885250484539,0,0,19.0871106409127,0,0,0,0,0,0,0,14.6780967137471,0,0,0,22.7110862191586,0,0,0,0,0,0,0,36.0130593756036,0,0
4.966354,909974,30,17.170974467462,0,0,0,0,21.2412042289333,0,0,1,0,0,0,0,0,0,10.6061934045005,44.3649280248225,32.8809683792461,0,26.4163079117379,15.1658303369541,0,0,0,0,0,0,0,0,0,37.3106475862319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3001678966837,0,0,12.864344505091,0,0,13.4120719854841,0,0,0,0,31.3359828218648,0,0,0,54.6235099128526,0,0,0,0,0,0,0,36.3252224669938,0,0
0.416271,753558,32,12.3006018427991,1,0,0,0,12.0318148988549,0,0,0,0,0,0,0,0,0,8.58388749455026,34.7953435213931,33.1910281707767,0,27.8828908412973,17.1973956202966,0,0,0,0,0,0,0,0,0,41.5103959491904,0,0,3.44792740430465,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58388749455026,0,0,13.7788659094893,0,1,0,0,1,0,0,26.8506364916563,29.5966209279278,0,0,43.3353920175431,0,0.820231,0,0,0,0,0,34.7032729012603,0,0
0.36382,753577,32,15.8673215928293,0,1,0,0,3.41720653685518,0,0,0,0,0,0,0,0,0,7.24520319020802,22.0778569873363,29.3115808601063,0,29.0683143736926,15.9496385613528,0,0,0,0,1,52.4929692674005,0,17.2,0,40.978919723994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640307236864,0,0,3.41519452601853,0,0,13.4297625790445,0,1,0,0,1,1,0,27.085531351608,0,0,0,42.4930403206855,0,0,0,0,0,0,0,35.4674923299011,0,0
4.466958,905948,32,14.4497795600207,0,1,0,0,3.24164561149916,0,0,0,12.1830410407796,0,0,0,0,0,4.77407189517623,41.2860366958566,30.7332105540596,0,26.3374464935004,20.2116359574657,0,0,0,0,0,0,12.1830410407796,0,0,33.4753594186785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0704302551401,0,0,15.7555717375633,0,1,0,19.0561422487556,1,0,0,34.5774659782676,31.2391832895352,0,0,53.5349358961881,0,0,0,0,1,0,0,36.5727992880049,0,1
2.21062,905978,32,14.6170971018785,0,0,0,0,9.77460991156541,0,0,0,0,0,0,0,0,0,0,29.6765540188144,26.29291431922,0,31.3511374833227,16.4667067786747,0,0,0,0,0,0,0,0,0,36.1118811074832,3.16288360750724,0,3.21278208635891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9145986956012,0,0,0,0,1,0,0,28.3397221839386,0,0,3.07879792947674,36.6471325881985,0,0,0,0,0,0,0,35.0648792871043,0,0
0.553449,905980,32,20.4845056155874,0,0,0,0,23.7847709554939,0,3,0,0,0,0,0,0,0,7.11028111536283,33.9161604846097,26.0262548599617,0,28.7379541211456,20.6347307367137,0,0,0,2,0,0,0,0,0,40.6949587202614,0,1,0,0,0,0,0,0,0,0,-51.6,0,0,0,0,0,23.0473537402267,0,0,14.6999775125325,0,0,0,0,1,0,0,26.3007019361491,0,0,0,39.8907692730192,0,0,7.85986267193018,0,0,0,0,33.7874700695261,0,0
