IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_161,PKA_161_ENG,PKA_161_EXP,MUT_CDC42BPB,MUT_MAP3K9_EXP,MUT_MAP4K1,MUT_NME9,MUT_NME9_EXP,MUT_NPR2_EXP,MUT_TNIK,MUT_TNIK_EXP,CNV_PTK2_gain,REC_R_HSA_176298_EXP,REC_R_HSA_5692755,PWY_R_HSA_1250196,PWY_R_HSA_1250196_EXP,PWY_R_HSA_1640170_CSV,PWY_R_HSA_416482_CSV,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,GO_0003351,GO_0003351_EXP,GO_0031100_CSV,GO_0032436_CSV,GO_0042060,GO_0048813_EXP,GO_0050798_EXP,SFAM_TSSK,EXP_EPHB6,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_GRK3_X_EXP_OR52I1,EXP_GRK3_X_EXP_OR5L2,EXP_RIPK3_X_EXP_FADD,EXP_RIPK3_X_EXP_NFKBIA,EXP_SYK_X_EXP_CLEC7A,EXP_WNK2_X_EXP_SLC12A3,REC_R_HSA_141409_EXP_X_REC_R_HSA_2316434_EXP,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_109606_X_PWY_R_HSA_2187338,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2029480_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_2672351_EXP,PWY_R_HSA_2187338_X_PWY_R_HSA_2672351,PWY_R_HSA_2187338_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_X_PWY_R_HSA_5633007,PWY_R_HSA_5663205_X_PWY_R_HSA_6804757,GO_0006351_X_GO_0045184,GO_0006355_EXP_X_GO_0031397_EXP,GO_0007411_X_GO_0034446,GO_0016567_X_GO_0045793,GO_0030155_X_GO_1901796,Predicted IC50,Validation
3.106225,946359,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80856,0,0,0,0,0,0,0,1,4.5428910227,0,0,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,8.5400514976,9.287973014,24.245172292,25.954932399,16.162280349,12.812561837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.4889248486,7
2.697389,749711,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,12.50753755,13.769342193,25.957367165,23.867836003,21.462135796,20.942342254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3772768498,9
3.826353,749715,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,11.817803584,12.504011993,23.734558574,21.742239263,14.018097268,21.621543362,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.0399371064,9
5.164448,749716,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,11.921041055,12.677097595,24.221754115,27.695483137,11.232768271,16.298043504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2217256397,8
4.149822,906812,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,10.854866731,11.232458055,21.417846284,24.261607854,8.9998635431,14.003953785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1621332982,10
1.118564,906844,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,18.230124864,20.747169665,18.992536448,20.96758984,28.041158397,16.516505088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5824993913,4
1.870624,906862,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0334776898,0,0,1,1,3.7540713141,0,0,0,0,0,0,0,0,1,0,0,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,12.129669764,13.928260339,21.608045354,24.543784331,17.371310825,13.450641312,21.119418433,0,0,3,0,0,0,0,0,3,0,0,0,0,1,2.3873112318,8
2.195492,908151,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9550698372,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,15.302616016,17.485414191,21.657687404,25.536629408,14.293288019,10.196397714,0,0,0,0,0,0,0,0,0,2,0,22.867464758,0,0,0,2.6785533777,1
1.959576,909256,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.7438427469,0,0,0,0,0,0,0,0,1,0,0,1,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,15.536010483,16.591660152,22.042506029,19.971393929,21.866113676,13.424871261,16.780027177,0,0,1,0,0,0,0,0,0,0,50.581408328,1,0,0,2.0692076996,2
4.74273,910948,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,11.394720435,12.317658888,21.237560287,26.497848268,9.7646594824,10.699836459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2077970948,6
4.481919,924106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795157,0,0,0,0,0,0,0,1,0,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,9.3483619674,10.046551744,24.448062263,25.529911251,16.697969761,17.993760975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1053142411,5
4.768427,946359,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80856,0,0,0,0,0,0,0,1,4.5428910227,0,0,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,8.5400514976,9.287973014,24.245172292,25.954932399,16.162280349,12.812561837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.6572521513,10
2.151263,749711,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,12.50753755,13.769342193,25.957367165,23.867836003,21.462135796,20.942342254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67733267,2
3.541408,749715,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,11.817803584,12.504011993,23.734558574,21.742239263,14.018097268,21.621543362,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.8253375358,10
4.06244,749716,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,11.921041055,12.677097595,24.221754115,27.695483137,11.232768271,16.298043504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1467113316,3
2.652028,906812,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,10.854866731,11.232458055,21.417846284,24.261607854,8.9998635431,14.003953785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1349245391,3
2.607702,906844,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,18.230124864,20.747169665,18.992536448,20.96758984,28.041158397,16.516505088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6150998156,9
2.719277,906862,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0334776898,0,0,1,1,3.7540713141,0,0,0,0,0,0,0,0,1,0,0,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,12.129669764,13.928260339,21.608045354,24.543784331,17.371310825,13.450641312,21.119418433,0,0,3,0,0,0,0,0,3,0,0,0,0,1,2.7706082707,8
0.947224,908151,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9550698372,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,15.302616016,17.485414191,21.657687404,25.536629408,14.293288019,10.196397714,0,0,0,0,0,0,0,0,0,2,0,22.867464758,0,0,0,2.2226861243,6
2.776025,909256,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.7438427469,0,0,0,0,0,0,0,0,1,0,0,1,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,15.536010483,16.591660152,22.042506029,19.971393929,21.866113676,13.424871261,16.780027177,0,0,1,0,0,0,0,0,0,0,50.581408328,1,0,0,2.1352184327,4
2.418576,910910,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798032,0,0,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,9.3185928963,9.9570684545,25.703774807,33.59508054,11.103853975,11.446908322,0,11.141596442,1,0,0,11.75518834,1,2,2,0,0,0,0,0,0,2.8722582198,8
3.349511,910948,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,11.394720435,12.317658888,21.237560287,26.497848268,9.7646594824,10.699836459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.024776647,6
